twist,height,volume,pressure,epi_mm,trans_mm,endo_mm
-8.037583580575406,71.9579297000082,130.69241814339856,-1.0755266554899685,246.376953125,248.0,233.572265625
-8.484473216865062,71.78849626356782,125.39419968246102,-1.120535287834876,246.41365031637656,248.0,233.27443946953784
-9.066436087201794,71.51723328638693,124.48840279411888,-0.7533171595015511,246.3291882123185,248.0,232.63795353747847
-8.890401613366071,70.73860822523012,118.40126610440076,0.6914553490458258,245.7804239871692,248.0,231.57103212086201
-7.258589022312897,68.78077398635197,121.10789349577594,4.9417082906196255,244.47614472158057,248.1422981407197,230.08117347917835
-5.498747416504149,67.01085341163139,117.4268299771167,16.626373563957205,242.36972448979608,246.6530714285717,228.04281507759376
-3.7093098598096526,65.37382674206827,112.0664484815997,33.6531059920627,239.7064147775587,243.60620496413557,225.9613616497014
-1.931923530176391,64.59858252224895,108.20105423187273,51.290667262215806,236.8590300808355,241.03730243932137,224.12203517412755
-0.2883410462469374,62.9776971171681,105.64140524458985,69.36731960347244,234.09748381560362,238.19222142948834,222.04151847023977
1.8365319918828387,62.048387412603596,99.52752793641564,85.52847334952428,231.4502312441067,235.72742764057992,220.66072718078576
3.4950390810353666,60.97705891920691,92.65491867841085,94.24712062714845,228.78211302813452,232.46351313786283,219.46093379479328
5.002072506842772,59.37747782941417,87.89231559735795,103.74923385410726,225.9033020376079,228.24007125572018,218.42654561282743
6.7516175223108155,57.72688381528116,82.2350730583254,111.02764203765291,222.7394642999477,224.92208904031938,217.70436255302457
8.401172701265972,56.30983676818695,72.24252067973352,116.6403439061582,219.35269736968112,221.5417260347208,216.85806853341583
10.006421409630548,55.04915823825244,65.74271724871642,119.79016974504309,216.01245686486445,218.62896611573368,215.91227525178115
10.549077651937415,53.95562194926882,64.19744498405976,121.52969719451085,213.17731521203788,215.91752176128816,214.8590277786548
9.355912004064239,53.176526775732874,60.70089813901087,122.07801969607323,211.43257439042546,213.17738849561306,213.83442479708114
9.063632244847208,52.661678126491076,59.242848595490386,121.8492628333173,211.183201979052,210.37664833062308,213.03123379448388
7.975493650214925,52.71512861579229,59.40095852709616,120.85741851438301,212.43708157965023,208.05866942481885,212.71587137189485
5.2003247200135325,53.05116924896269,57.12530959092692,115.04215833049479,214.7217746960902,206.6928501342147,213.0612707109474
2.9832304850940083,53.81792367331209,61.37733868004495,105.77848741298605,217.40162888539763,207.04178042447688,213.90697671072328
0.5165302822882543,55.22309002271114,60.455934189383925,92.80351520927054,220.0465041632696,209.69444603731185,215.36305888432958
-0.8193132296983032,56.68979869750427,60.849965040293164,68.49290070238146,222.58328588766858,214.48684814140645,217.28887983920345
-1.558496720596936,58.70005373660396,63.07101120338107,37.255929874314084,225.08827126080675,220.640123845208,219.59616574938494
-1.9594817902728288,60.39519923620008,70.7522818952993,14.31928672035786,227.65566286486737,226.76759337323992,222.0671897574003
-3.0196465032727904,61.995596810773634,77.7353182065669,3.9214430930022828,230.2363384619471,231.4438973214283,224.20783981717673
-3.128848385519479,63.62140540984089,85.80166005230912,0.21455867927934888,232.7213850040014,235.1908843401942,226.24662750829484
-3.643053159913215,65.42327539379654,93.78355229459288,-0.5645194711391349,234.96559094812528,237.76141444160342,227.85245125708352
-4.26814677385536,66.56931654152157,97.4632509016932,-0.900338431098334,236.81068894505495,239.755023285977,229.0366479320919
-4.631307419400816,67.34327281138705,100.73843963870122,-1.2103805651255795,238.16505949593162,241.07821304778986,229.54412696446786
-3.7521858210471977,67.68047655112919,106.60189082455032,-1.2452715639719976,238.98710298671236,242.53744288226653,229.68833001679207
-4.071269692777958,66.81320215364406,109.81822535886359,-1.2026886540706787,239.41728103741494,243.9541432823129,229.5652655187075
-3.3652021683228264,66.66178464276403,106.74941227713411,-1.1384445421279241,239.6465112059675,245.10730795362687,229.38208942252643
-3.7643835077550993,66.47118244875558,114.93519205528328,-1.0970491647237772,239.88365270691608,245.8770182823129,229.28167077664398
-4.369104407180919,66.48466547548712,113.45393214397807,-1.0935882325109902,240.19739721075635,246.3878075498876,229.3074961439596
-4.401089692219432,66.63742360097747,117.73369593358991,-1.0998959505355816,240.60237855113633,246.86088311688306,229.44453490259738
-4.436974737935448,66.60314663455138,119.93716654158015,-1.0931262462827,241.05468093527125,247.38930308658203,229.63378765792416
-5.013537351346614,66.65364928238196,121.49679100881549,-1.0126823540123187,241.53832446714378,247.98135525461473,229.74682743005596
-6.010962225676901,67.4195174345732,118.51514802496744,-0.8577019432227496,242.05350295697403,248.0018410321335,229.82360393926706
