RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-29T15:15:04.930000
0.002,2026-06-29T15:15:04.932000
0.004,2026-06-29T15:15:04.934000
0.006,2026-06-29T15:15:04.936000
0.008,2026-06-29T15:15:04.938000
0.01,2026-06-29T15:15:04.940000
0.012,2026-06-29T15:15:04.942000
0.014,2026-06-29T15:15:04.944000
0.016,2026-06-29T15:15:04.946000
0.018,2026-06-29T15:15:04.948000
0.02,2026-06-29T15:15:04.950000
0.022,2026-06-29T15:15:04.952000
0.024,2026-06-29T15:15:04.954000
0.026,2026-06-29T15:15:04.956000
0.028,2026-06-29T15:15:04.958000
0.03,2026-06-29T15:15:04.960000
0.032,2026-06-29T15:15:04.962000
0.034,2026-06-29T15:15:04.964000
0.036,2026-06-29T15:15:04.966000
0.038,2026-06-29T15:15:04.968000
0.04,2026-06-29T15:15:04.970000
0.042,2026-06-29T15:15:04.972000
0.044,2026-06-29T15:15:04.974000
0.046,2026-06-29T15:15:04.976000
0.048,2026-06-29T15:15:04.978000
0.05,2026-06-29T15:15:04.980000
0.052,2026-06-29T15:15:04.982000
0.054,2026-06-29T15:15:04.984000
0.056,2026-06-29T15:15:04.986000
0.058,2026-06-29T15:15:04.988000
0.06,2026-06-29T15:15:04.990000
0.062,2026-06-29T15:15:04.992000
0.064,2026-06-29T15:15:04.994000
0.066,2026-06-29T15:15:04.996000
0.068,2026-06-29T15:15:04.998000
0.07,2026-06-29T15:15:05.000000
0.072,2026-06-29T15:15:05.002000
0.074,2026-06-29T15:15:05.004000
0.076,2026-06-29T15:15:05.006000
0.078,2026-06-29T15:15:05.008000
0.08,2026-06-29T15:15:05.010000
0.082,2026-06-29T15:15:05.012000
0.084,2026-06-29T15:15:05.014000
0.086,2026-06-29T15:15:05.016000
0.088,2026-06-29T15:15:05.018000
0.09,2026-06-29T15:15:05.020000
0.092,2026-06-29T15:15:05.022000
0.094,2026-06-29T15:15:05.024000
0.096,2026-06-29T15:15:05.026000
0.098,2026-06-29T15:15:05.028000
0.1,2026-06-29T15:15:05.030000
0.102,2026-06-29T15:15:05.032000
0.104,2026-06-29T15:15:05.034000
0.106,2026-06-29T15:15:05.036000
0.108,2026-06-29T15:15:05.038000
0.11,2026-06-29T15:15:05.040000
0.112,2026-06-29T15:15:05.042000
0.114,2026-06-29T15:15:05.044000
0.116,2026-06-29T15:15:05.046000
0.118,2026-06-29T15:15:05.048000
0.12,2026-06-29T15:15:05.050000
