twist,height,volume,pressure,epi_mm,trans_mm,endo_mm
-2.690424624160533,70.16580463943404,127.99072654042386,-0.9556859281312476,241.19062500000004,248.0,233.70625000000004
-2.732166408120571,69.5929705846079,128.495831559812,-0.984129190401894,241.06917057107498,248.0,233.34999267634032
-2.4942081565314034,69.04293224019239,130.17611586830364,-0.8808986202337087,240.78615516204022,248.0,232.86666661688545
-2.341944471384775,68.41075593009448,127.84419822099737,-0.368089720603986,240.24306294739128,248.0,232.16708289879955
-1.9547985989507533,67.33921677411892,126.21472827765763,1.9048919302011944,239.35749820039402,248.0,231.24484465506498
-0.7385479249010962,65.94285678363478,124.12320958192453,6.616213530340679,237.97768426281405,248.02200441377045,229.86638841916724
1.8440023432724504,64.52611698898278,118.0613177272025,16.234191296009467,235.9833121905941,247.54014988515038,228.06032263299008
3.1938214614241027,63.10740800531894,111.9004797043384,32.46425813717094,233.3851412329095,245.01578569543577,225.9883723264552
4.846585760152934,62.00284290176037,107.86577526726262,52.55788860073591,230.41795018011854,242.10660466234768,224.07048263432853
6.7018991416539855,61.14074948947532,102.87062043922144,73.77765914437798,227.37902608048861,238.7985876717987,222.14625408916322
8.514884869764307,59.555104491126826,100.10537902069917,84.46562484351354,224.42464864087654,235.67458329544695,220.32587721951407
8.992554843009534,58.21013632535591,92.41876632197955,90.70584848848323,221.39938906017974,232.70824480440152,218.3652543509405
10.8022165436119,56.55424391986313,87.75981575532631,96.37835657244699,217.926494505379,230.7236452156334,216.96381521196335
12.797258416393698,55.20558749390799,80.58602620821021,100.66978165739654,213.7413563767403,228.7858754612014,215.81049439712328
13.657803612605306,54.28614870596599,77.38774875931749,103.77042928238649,209.10700632440475,226.7409404761905,215.07777901785718
13.265809784916678,53.930286079199085,74.80908537589572,106.56965804290265,204.85796322058866,224.45094065165446,214.6280362073835
12.686284278568857,53.19172328583085,71.96874080874346,109.10392597828802,202.09685018069732,221.8455352891157,214.200525085034
11.842109457052878,53.26660873866723,67.01788786933918,110.14925765598252,201.5738384885204,219.25554666241496,213.6564480229592
10.860944325617282,53.122370432281066,66.5983802290496,110.25055676328437,203.29847409119893,217.4813707217262,213.19526698022958
10.304745386151774,53.11589542699952,64.73194430642651,109.29238110172378,206.55256533087393,216.48048728435768,213.03640796029003
8.941623502733941,53.014920122816534,63.89360348739385,99.17119744961629,210.37733096615673,216.63313470904095,213.7149742254273
7.496586997866365,53.78081489118111,65.6162980451254,80.14499205945911,214.10324493163603,217.9435389630481,215.21451608358385
5.816635812986006,55.47683774833251,68.74542143001025,56.073897589222064,217.4362608578327,220.43054703966087,217.5850790110048
5.199981167984087,57.93837980944621,73.19244481098369,31.766834140074433,220.43565338181642,224.00945751728113,220.5640625291447
4.176459839907467,60.24849634944281,79.88058640947848,12.842691885378633,223.1846063937813,227.95398182994313,223.39283230911312
2.958840798159866,61.93113643683515,83.90607867916823,3.262836985528036,225.71852343749993,232.32217947491483,225.97007985225332
2.471761801102312,62.89206473016076,87.56543794295385,0.17218352400792755,227.98677546027875,236.42813367491874,227.80900148245848
