phase,epi,trans,endo
0.0000,236.9779,246.7311,230.0124
0.0101,236.3332,245.4763,229.6313
0.0202,235.6147,244.2196,229.2836
0.0303,234.8158,242.9487,228.9914
0.0404,234.0024,241.6403,228.7562
0.0505,233.2556,240.2752,228.5595
0.0606,232.6092,238.8603,228.3717
0.0707,232.0316,237.4333,228.1629
0.0808,231.4523,236.0505,227.9061
0.0909,230.8051,234.7666,227.5770
0.1010,230.0593,233.6215,227.1626
0.1111,229.2261,232.6315,226.6778
0.1212,228.3437,231.7782,226.1673
0.1313,227.4500,231.0021,225.6831
0.1414,226.5589,230.2254,225.2574
0.1515,225.6536,229.4007,224.8977
0.1616,224.6971,228.5360,224.5916
0.1717,223.6531,227.6685,224.3063
0.1818,222.5041,226.8276,223.9902
0.1919,221.2593,226.0379,223.5921
0.2020,219.9491,225.3359,223.0837
0.2121,218.6127,224.7556,222.4629
0.2222,217.2818,224.2955,221.7400
0.2323,215.9661,223.9142,220.9309
0.2424,214.6437,223.5638,220.0638
0.2525,213.2624,223.2233,219.1837
0.2626,211.7537,222.9003,218.3377
0.2727,210.0578,222.6036,217.5444
0.2828,208.1512,222.3174,216.7833
0.2929,206.0686,222.0003,216.0230
0.3030,203.9104,221.6036,215.2645
0.3131,201.8352,221.0897,214.5555
0.3232,200.0377,220.4449,213.9711
0.3333,200.0000,219.6933,213.5856
0.3434,200.0000,218.9080,213.4485
0.3535,200.0000,218.2116,213.5674
0.3636,200.0000,217.7669,213.9042
0.3737,200.5850,217.7619,214.3921
0.3838,202.7784,218.3772,214.9624
0.3939,205.3825,219.7221,215.5585
0.4040,208.1808,221.7584,216.1389
0.4141,210.9664,224.2652,216.6823
0.4242,213.5798,226.8873,217.1982
0.4343,215.9293,229.2585,217.7267
0.4444,217.9875,231.1273,218.3152
0.4545,219.7681,232.4060,218.9861
0.4646,221.2987,233.1383,219.7236
0.4747,222.6018,233.4411,220.4966
0.4848,223.6900,233.4635,221.2916
0.4949,224.5754,233.3628,222.1168
0.5051,225.2809,233.2794,222.9734
0.5152,225.8455,233.3173,223.8335
0.5253,226.3186,233.5442,224.6493
0.5354,226.7483,234.0142,225.3860
0.5455,227.1700,234.7759,226.0396
0.5556,227.6023,235.8364,226.6210
0.5657,228.0490,237.1104,227.1265
0.5758,228.5041,238.4289,227.5329
0.5859,228.9573,239.6246,227.8236
0.5960,229.3973,240.6267,228.0094
0.6061,229.8138,241.4776,228.1221
0.6162,230.1992,242.2560,228.1916
0.6263,230.5500,242.9841,228.2310
0.6364,230.8665,243.6144,228.2419
0.6465,231.1527,244.0968,228.2283
0.6566,231.4140,244.4350,228.2032
0.6667,231.6554,244.6740,228.1839
0.6768,231.8789,244.8588,228.1832
0.6869,232.0843,245.0148,228.2062
0.6970,232.2701,245.1551,228.2514
0.7071,232.4373,245.2882,228.3133
0.7172,232.5902,245.4188,228.3845
0.7273,232.7360,245.5467,228.4569
0.7374,232.8831,245.6706,228.5239
0.7475,233.0386,245.7942,228.5815
0.7576,233.2063,245.9276,228.6280
0.7677,233.3841,246.0811,228.6629
0.7778,233.5642,246.2595,228.6852
0.7879,233.7353,246.4643,228.6938
0.7980,233.8872,246.7029,228.6867
0.8081,234.0159,246.9911,228.6613
0.8182,234.1253,247.3384,228.6150
0.8283,234.2276,247.7229,228.5487
0.8384,234.3403,248.0000,228.4705
0.8485,234.4820,248.0000,228.3984
0.8586,234.6671,248.0000,228.3618
0.8687,234.9013,248.0000,228.3946
0.8788,235.1815,248.0000,228.5188
0.8889,235.4984,248.0000,228.7289
0.8990,235.8412,248.0000,229.0010
0.9091,236.1996,248.0000,229.3194
0.9192,236.5631,248.0000,229.6864
0.9293,236.9200,248.0000,230.0956
0.9394,237.2559,248.0000,230.5027
0.9495,237.5523,248.0000,230.8325
0.9596,237.7815,248.0000,231.0171
0.9697,237.9036,248.0000,231.0301
0.9798,237.8796,247.8715,230.8917
0.9899,237.7035,247.6284,230.6498
1.0000,237.4280,247.3180,230.3578
