time,twist,height,volume,pressure,epi_mm,trans_mm,endo_mm
0.0,-10.387909473048209,77.43165672836236,125.38035891706265,-1.1691310748846693,247.38138020833333,244.96145833333333,237.0315104166667
0.1,-10.441717901536729,77.25314499922912,124.7608976590213,-0.885266525846154,247.412109375,244.94479166666667,237.00390625
0.2,-10.46947285933541,76.92514433445893,123.77985640568176,-0.6404270953173299,247.54846358333748,244.86539581041438,236.84236452291066
0.30000000000000004,-10.415656095759841,76.50473018067679,122.68435859724086,-0.7877346743283864,247.6184114635422,244.83125000000004,236.65744785416044
0.4,-10.264756516099718,76.0165552575702,121.513259841896,-1.1656292280389422,247.60257810937347,244.85798960104344,236.46680727968635
0.5,-10.00442463347054,75.48970027449924,120.30422760730937,-1.3364198639773128,247.54353530092592,244.94221538299658,236.27383028198662
0.6000000000000001,-9.626365382093761,74.94956759791886,119.09191032982102,-1.090350033834287,247.42491858340324,245.07371089175447,236.07129857548512
0.7000000000000001,-9.126967767324768,74.41000702636178,117.90630404711976,-0.5926468383025071,247.22375603880755,245.24041970265043,235.8161629844311
0.8,-8.507601570950177,73.86958892045185,116.77142081082997,-0.10726249656821268,246.96225294963094,245.37857130300117,235.59715784629012
0.9,-7.774552484241876,73.31461287576107,115.70434741004503,0.3102381789644207,246.58017705787725,245.42810857713076,235.41494233012736
1.0,-6.938585778587053,72.72780190560991,114.71474270689068,0.8521144271510455,246.05556069278813,245.40214575028935,235.1348656461629
1.1,-6.014197063460247,72.0982409098628,113.80477995043996,1.8381354244081825,245.44494126933623,245.27181212742178,234.80628487530706
1.2000000000000002,-5.018618566287725,71.42763807632237,112.96952867026629,3.5499988293646125,244.70415885416682,244.68920833333345,234.18653776041683
1.3,-3.9707052007202694,70.73066264207166,112.19772814911015,6.0095689770093585,243.87369237841529,244.13619192679812,233.67388654998786
1.4000000000000001,-2.8898067387823976,70.0305143885246,111.47286412899348,9.004727771677029,242.97823467164133,243.7853139832057,233.39477947300577
1.5,-1.7947315633896856,69.35282128564239,110.77446071505055,12.475785437575638,242.03881245416233,243.17662377956557,232.93175940823255
1.6,-0.7028833021319415,68.7207652192075,110.07949062783196,16.557294420611047,241.06914564732173,242.70744010416686,232.5841242559525
1.7000000000000002,0.37038935628215297,68.1526475110334,109.36380820321308,21.205626539788852,240.08213825288792,241.8317102413367,231.94158158003304
1.8,1.4122270184362744,67.6611771912934,108.60352232750171,26.152750589492694,239.09155017207146,241.0714228957513,231.3897796883983
1.9000000000000001,2.412510930870683,67.252874796505,107.7762410214349,31.178694241554837,238.0959552573655,240.61973916268676,231.07048976620231
2.0,3.3639518593740063,66.92671858291037,106.86215444153834,36.173444888619876,237.1065301225258,240.06446310265025,230.71874451229257
2.1,4.262108589109767,66.67280993773132,105.84491496280994,41.07002492211087,236.12783959385538,239.3718861795035,230.33317945075763
2.2,5.105327201747159,66.4729721512522,104.71229897765816,46.01504941362814,235.1557608553767,238.62932741556003,229.9739067402776
2.3000000000000003,5.894611381204427,66.30438882409383,103.45668022305442,51.47563847848838,234.19710848689056,237.7886030920802,229.6555869323912
2.4000000000000004,6.6334254869610545,66.14508991304989,102.07530067110254,57.753711847714555,233.25452083333366,236.55243750000048,229.31680208333344
