twist,height,volume,pressure,epi_mm,trans_mm,endo_mm
-10.387909473048209,77.43165672836236,125.38035891706265,-1.1691310748846693,247.38138020833333,244.96145833333333,237.0315104166667
-10.249975413783224,75.9752567987478,121.41610515217239,-1.199693884538209,247.59875132363368,244.8623266248819,236.45107579157158
-8.400698749018927,73.78122691310625,116.58891409105193,-0.03235749015101144,246.90611661054083,245.39221712676272,235.56908680712058
-4.770008782488814,71.26054866128038,112.77026458689095,4.027591120326071,244.51633997661574,244.46701445578242,233.97920357674332
-0.3478338721207484,68.52146289063641,109.85139413473934,17.969803804443682,240.74744678920703,242.48913653273826,232.42292406158904
3.740109257525786,66.81103445631737,106.46589825447079,38.192485443015435,236.70603891550653,239.78865991739144,230.55717950314713
6.979849591167921,66.06522433109178,101.35675660123216,60.9804906622546,232.79584736394585,235.77909566326562,229.13159800170078
9.560760564814355,65.20596869668147,94.3377271604345,79.70585025283995,229.39431518898604,232.03181737657198,228.6386716871092
11.996691287859493,63.93517706059643,86.41047344666514,85.86127966059131,226.31336672160356,227.8053815207946,228.29972952320546
14.456528161320174,62.519358381727436,79.11184565494119,91.39921666701406,223.11263182929437,225.12915710034022,227.82392772108847
16.530888412076454,61.01758669958456,73.43538644645945,96.11057029918449,219.6864952026109,222.69203787449337,227.00683061804273
17.754487175890972,59.4299439051195,69.14095777533936,101.7849153552044,216.16093686816097,220.1327986617224,225.92126907684408
18.151797853443373,58.08517803498932,65.18544617677331,104.22531565973935,212.62363141673995,218.12574783227709,224.94667175582367
18.1661758107787,57.313817305802274,60.93727776108937,107.45048675482083,208.8798280187076,216.25669196428578,223.92886894132656
18.173739555649032,56.65974813564429,56.89421780904552,107.6870848899693,204.80105157390508,214.04430517690932,222.87780175028638
18.210821094490775,56.46626462240061,54.103506900924934,107.94356368656237,201.23783695533146,209.9967785985923,222.32220638571084
18.047844979749296,56.56757049350557,52.977725639228396,105.51013660650626,199.97703609510484,204.26163298612497,222.53731296030583
17.379396822196803,55.970581621378265,52.898484394513595,105.58422420812582,199.9984375,201.93761708837488,222.55666356883967
