time,twist,height,volume
16.97,0.0,46.25920407027199,17.321946842559413
17.07,1.0406283141187842,46.2310827355186,20.178003913731374
17.17,1.8105107219521202,46.210812655292486,22.406052820848736
17.27,2.1709981879576077,46.203870770659485,23.4045731417633
17.37,2.0885825786042744,46.2117531891461,22.97171867505184
17.47,1.6299870786106823,46.23170479852293,21.379485217254462
17.57,0.9457540397633011,46.25774247568554,19.229413455322188
17.67,0.23944278607638836,46.28256218067859,17.196804713343596
17.77,-0.28277300650695736,46.29970684260398,15.813427306116687
17.87,-0.4741211089640629,46.30532118892439,15.366595912217122
17.97,-0.2954833445398606,46.298979089538875,15.893644011684714
18.07,0.17599449767105568,46.28343982152509,17.210762767020817
18.17,0.7817266823949822,46.263585372700994,18.946984223954495
18.27,1.3393127306475776,46.24497048779752,20.60707606946322
18.37,1.6968288924288686,46.23236533394502,21.698522266089256
18.47,1.7693881080205855,46.2285759681071,21.90486411728326
18.57,1.5562002700466664,46.23379150019136,21.218285133528987
18.67,1.1392698569388884,46.245650863336714,19.94062093987595
18.77,0.660986392466576,46.260059164524584,18.544909174586614
18.87,0.27866997559771534,46.272533017619416,17.48213262642856
18.97,0.10684780730102261,46.27963424749191,17.03249350250271
19.07,0.17321845630993948,46.28000397200919,17.242461040016522
19.17,0.41283086691809245,46.27465825360724,17.936440542548453
19.27,0.7031913718313945,46.26645220348615,18.787735149086444
19.37,0.919147045326703,46.25890338993837,19.44021765336025
19.47,0.979385378130111,46.25484144385926,19.64643732179782
19.57,0.8676189314320482,46.255439274404864,19.356404741017393
19.67,0.6277864481175612,46.25996362705855,18.71089594946573
19.77,0.34144087692585856,46.266237206879126,17.955009063271326
19.87,0.0963657707809844,46.27156978359003,17.328558630999837
19.97,-0.04425446034598224,46.27380238271962,16.98379350729322
20.07,-0.060572221279301175,46.272059802009565,16.95423334533198
20.17,0.026415030025525255,46.26690228856895,17.175656375662378
20.27,0.17632914390316756,46.25986245804539,17.542847401941273
20.37,0.35500021556550365,46.252684793420286,17.97065547337153
20.47,0.5475057967979353,46.24669886474418,18.424166273115404
20.57,0.7529438310129208,46.242568676043895,18.903258587159513
20.67,0.969559778770531,46.240346800200285,19.402703898760635
20.77,1.1844280027372989,46.23961810655914,19.886747645033594
20.87,1.3744593027043166,46.239649813167965,20.29695659261779
20.97,1.5137939067418102,46.23964859795178,20.576279101800203
21.07,1.578977042707976,46.2391826504211,20.680195614313817
21.17,1.5497567143619833,46.23857503706385,20.569198713996272
21.27,1.4111415939276526,46.23891174488098,20.206479085174564
21.37,1.1620935919827318,46.241485601481216,19.5824274290688
21.47,0.8273608143277045,46.24693397086294,18.751943546168135
21.57,0.4610625737460623,46.25463795648687,17.843956608471686
21.67,0.13346851956832495,46.262822128001794,17.021517550829735
21.77,-0.09469515529941219,46.26931389308373,16.416963323958242
21.87,-0.19428354533763326,46.27248005770043,16.08910596051711
21.97,-0.17152193799847026,46.27178995177365,16.02822692060586
22.07,-0.05414941533573625,46.26778333953304,16.195065447877496
22.17,0.12560761573944745,46.26164866727948,16.556356978472373
22.27,0.338489763798421,46.25477885150209,17.08817220302415
22.37,0.5569092334162136,46.24849146869784,17.750311177415583
22.47,0.7548373670373678,46.24384313693711,18.46277514958394
22.57,0.914548544043015,46.24141650168992,19.11488273381886
22.67,1.035002892126272,46.24112220740346,19.607715146480928
22.77,1.1317004847093557,46.242210088308994,19.89720673667623
22.87,1.2239593531954966,46.243617076379394,20.002425074765206
22.97,1.3167587735605935,46.24452502388144,19.97453897015118
23.07,1.390132699795835,46.24479400436859,19.8531020896531
23.17,1.4048703904821807,46.2449733729922,19.641926816896508
23.27,1.3233192124474655,46.245859939442354,19.32178373895409
23.37,1.1353960500454008,46.24787988151247,18.893254437850004
23.47,0.8759930065795487,46.25069639056076,18.41909655446819
23.57,0.6218166970882351,46.25328893291442,18.02942324595876
23.67,0.46439262763716727,46.25443413592311,17.877928450702896
23.77,0.4701993186645623,46.253285009977425,18.07409355978031
23.87,0.6499288772182581,46.24973277931222,18.630636311822904
23.97,0.9546108054254461,46.24440930091403,19.450368935451294
24.07,1.2978450440867206,46.238411365821875,20.353326637188815
24.17,1.5884990774556584,46.23294025512345,21.131722895938047
24.27,1.7588143912097323,46.22899973865958,21.616382051977077
24.37,1.7811025517001227,46.2272000276779,21.73322339928969
24.47,1.6709322856096165,46.227680586596556,21.52317588621362
24.57,1.476595674426477,46.230152659789354,21.111413379305915
24.67,1.258935781475401,46.23401667851098,20.64412587064092
24.77,1.070679756707321,46.23848182867798,20.232332298921186
24.87,0.9438597296505975,46.2426715687382,19.928902690635375
24.97,0.8869057515514029,46.245784978287105,19.734158263451448
25.07,0.886933207779343,46.24736689793998,19.61019594063572
25.17,0.9135348776368915,46.24759180147696,19.493657810596574
25.27,0.9249516758716112,46.24734020122577,19.31187314396393
25.37,0.8791564512913723,46.24791006751372,19.00817530276848
25.47,0.7493131226012721,46.250433906979936,18.57023590203253
25.57,0.5383992692768302,46.25527658909919,18.045965788146965
25.67,0.2852492393442887,46.26172155381914,17.53502145369047
25.77,0.056005189996469085,46.26811894107999,17.156945839469756
25.87,-0.07883095613370017,46.27246617178409,17.008668061822867
25.97,-0.07285414275433766,46.273195499499046,17.12824592772288
26.07,0.07674557650424418,46.2698151738554,17.47928779394738
26.17,0.32902671888125923,46.26309378204509,17.96265101261116
26.27,0.6169537629324324,46.25472031403375,18.45065628938586
26.37,0.8720311666321408,46.246656069502265,18.829597345793502
26.47,1.0446045038351528,46.240514051248006,19.033470768487867
26.57,1.1140516189622005,46.2372033447212,19.057198241859737
26.67,1.0888682991310716,46.236877619159856,18.948293790385826
26.77,0.9989483645719659,46.239096064302196,18.78330319241922
26.87,0.8824043879519579,46.243088160342666,18.63650603661847
26.97,0.7711471491897868,46.248019615671666,18.550930892222546
27.07,0.6821238640221523,46.25314713789046,18.525701006319082
27.17,0.6188557238361554,46.257801306830814,18.528372778640126
27.27,0.5805633956358349,46.261272239986354,18.52542466989965
27.37,0.571045587687955,46.26277642439377,18.511763514499727
27.47,0.6010507642580123,46.2616405593227,18.521379352995915
27.57,0.6829596561131765,46.25767364195851,18.613396922143927
27.67,0.8210670495272083,46.25153008197045,18.841555542087626
27.77,1.0035473585994765,46.24479956785305,19.22321128423463
27.87,1.2013731244401455,46.2396554750055,19.72180433940025
27.97,1.3739200793470658,46.23812268420161,20.246070052617384
28.07,1.4766188073029127,46.241223894251235,20.66191276448943
28.17,1.4686680221639676,46.248300394932436,20.81779020427809
28.27,1.323361064465736,46.2567635159431,20.589795405374915
28.37,1.041490350856769,46.26254223526487,19.93939578784709
28.47,0.6614777795224782,46.26144341064239,18.953253143265307
28.57,0.2571679771267128,46.25132084611429,17.83305797290032
28.67,-0.08044355604712905,46.23438918138989,16.83483098902751
28.77,-0.2713578763007902,46.218548181791924,16.1917388055138
28.87,-0.2711018547737538,46.21658878938316,16.058500598720805
28.97,-0.08034280202524258,46.24283203947546,16.49004463510166
29.07,0.26108335392746085,46.30794279542903,17.441309194449765
29.17,0.6882233217819191,46.41384527886651,18.77262365384921
29.27,1.1263835158154336,46.551212925720726,20.2619203233132
29.37,1.504981350968798,46.70134075587185,21.637785897024877
29.47,1.76859136018102,46.842137683547776,22.64087024354305
29.57,1.884724157849952,46.955461804959825,23.100805188208085
29.67,1.8487950302542586,47.03208544202476,22.996811281901216
29.77,1.686030864715832,47.07224199978038,22.467610970163967
29.87,1.4480919314728098,47.08254471361658,21.757781319508652
29.97,1.2016449509655018,47.07178141918274,21.122500487554035
30.07,1.0092451586093674,47.04788118108352,20.73529421306101
