phase,epi,trans,endo
0.0000,239.3633,239.6029,239.7954
0.0101,238.9406,240.9987,239.3298
0.0202,238.9399,242.9894,239.0674
0.0303,239.6275,245.3670,239.1527
0.0404,240.9662,247.3158,239.5524
0.0505,242.5691,248.0000,239.9673
0.0606,243.8403,248.0000,239.9344
0.0707,244.2525,248.0000,239.1323
0.0808,243.5955,247.6118,237.6644
0.0909,242.0473,246.9978,236.0278
0.1010,240.0405,245.9641,234.7424
0.1111,238.0311,244.4248,233.9714
0.1212,236.3214,242.5933,233.4804
0.1313,235.0100,240.8503,232.9241
0.1414,234.0350,239.4462,232.1571
0.1515,233.2452,238.3028,231.3200
0.1616,232.4679,237.0895,230.6900
0.1717,231.5755,235.4902,230.4665
0.1818,230.5343,233.3858,230.6559
0.1919,229.4059,230.8309,231.0982
0.2020,228.2920,227.9965,231.5552
0.2121,227.2545,225.1871,231.7834
0.2222,226.2668,222.7735,231.6054
0.2323,225.2313,220.9809,230.9962
0.2424,224.0486,219.7209,230.1227
0.2525,222.6850,218.6256,229.2607
0.2626,221.1805,217.2753,228.6294
0.2727,219.5900,215.4865,228.2741
0.2828,217.9036,213.4536,228.0796
0.2929,216.0222,211.6056,227.8813
0.3030,213.8294,210.2914,227.5863
0.3131,211.3359,209.5809,227.2180
0.3232,208.8009,209.3159,226.8645
0.3333,206.7262,209.2817,226.5895
0.3434,205.6830,209.3038,226.3895
0.3535,206.0278,209.2507,226.2145
0.3636,207.6486,209.0484,226.0042
0.3737,209.9161,208.7529,225.6981
0.3838,211.9554,208.5655,225.2297
0.3939,213.1338,208.6801,224.5527
0.4040,213.4142,209.0583,223.7244
0.4141,213.2904,209.3711,222.9867
0.4242,213.3939,209.2116,222.7258
0.4343,214.1189,208.4364,223.2547
0.4444,215.4892,207.3998,224.5487
0.4545,217.2422,206.9135,226.1792
0.4646,219.0144,207.9025,227.5577
0.4747,220.5336,210.8725,228.3143
0.4848,221.7398,215.4976,228.5114
0.4949,222.7752,220.6999,228.5424
0.5051,223.8515,225.2689,228.8267
0.5152,225.0855,228.5373,229.5454
0.5253,226.4253,230.5741,230.5954
0.5354,227.7196,231.8726,231.7417
0.5455,228.8571,232.9167,232.7967
0.5556,229.8443,233.9453,233.6816
0.5657,230.7590,234.9728,234.3899
0.5758,231.6450,235.9448,234.9441
0.5859,232.4656,236.8823,235.3773
0.5960,233.1545,237.9214,235.7137
0.6061,233.6906,239.2200,235.9432
0.6162,234.1089,240.8019,236.0255
0.6263,234.4514,242.4872,235.9367
0.6364,234.7307,243.9818,235.7143
0.6465,234.9516,245.0335,235.4523
0.6566,235.1475,245.5260,235.2535
0.6667,235.3744,245.4879,235.1837
0.6768,235.6598,245.0667,235.2537
0.6869,235.9635,244.4916,235.4241
0.6970,236.1986,244.0084,235.6179
0.7071,236.2971,243.8077,235.7455
0.7172,236.2667,243.9810,235.7467
0.7273,236.1911,244.5097,235.6317
0.7374,236.1798,245.2683,235.4824
0.7475,236.3000,246.0421,235.4061
0.7576,236.5350,246.5895,235.4702
0.7677,236.7920,246.7431,235.6638
0.7778,236.9604,246.4889,235.9067
0.7879,236.9834,245.9625,236.0971
0.7980,236.8991,245.3792,236.1730
0.8081,236.8232,244.9559,236.1504
0.8182,236.8877,244.8523,236.1145
0.8283,237.1677,245.1310,236.1645
0.8384,237.6292,245.7406,236.3475
0.8485,238.1296,246.5229,236.6259
0.8586,238.4833,247.2455,236.8999
0.8687,238.5693,247.6787,237.0691
0.8788,238.4097,247.7093,237.0883
0.8889,238.1580,247.4158,236.9901
0.8990,238.0016,247.0273,236.8662
0.9091,238.0537,246.7852,236.8226
0.9192,238.3103,246.7987,236.9319
0.9293,238.6902,246.9830,237.2088
0.9394,239.1105,247.1192,237.6167
0.9495,239.5279,246.9958,238.0944
0.9596,239.9178,246.5194,238.5815
0.9697,240.2233,245.6858,239.0255
0.9798,240.3461,244.4671,239.3750
0.9899,240.2204,242.8170,239.5980
1.0000,239.9075,240.8415,239.7249
