Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.06,200.00,0.04
0.20,200.01,0.10,202.01,0.12,200.01,0.08
0.40,200.04,0.20,202.05,0.23,200.03,0.16
0.60,200.09,0.29,202.10,0.35,200.07,0.24
0.80,200.16,0.39,202.18,0.46,200.13,0.32
1.00,200.24,0.49,202.29,0.58,200.20,0.40
1.20,200.35,0.58,202.42,0.69,200.29,0.48
1.40,200.48,0.68,202.56,0.80,200.40,0.56
1.60,200.62,0.77,202.74,0.92,200.52,0.64
1.80,200.79,0.87,202.93,1.03,200.65,0.72
2.00,200.97,0.96,203.15,1.14,200.81,0.80
2.20,201.17,1.05,203.39,1.25,200.97,0.88
2.40,201.39,1.14,203.65,1.35,201.16,0.95
2.60,201.63,1.23,203.93,1.46,201.35,1.03
2.80,201.88,1.32,204.23,1.57,201.57,1.10
3.00,202.16,1.41,204.55,1.67,201.79,1.17
3.20,202.45,1.50,204.90,1.77,202.04,1.24
3.40,202.75,1.58,205.26,1.87,202.29,1.31
3.60,203.08,1.66,205.65,1.97,202.56,1.38
3.80,203.42,1.75,206.05,2.07,202.85,1.45
4.00,203.78,1.82,206.47,2.16,203.14,1.52
4.20,204.15,1.90,206.91,2.25,203.45,1.58
4.40,204.54,1.98,207.37,2.34,203.78,1.65
4.60,204.94,2.05,207.85,2.43,204.11,1.71
4.80,205.36,2.12,208.35,2.51,204.46,1.77
5.00,205.79,2.19,208.86,2.60,204.82,1.82
5.20,206.24,2.26,209.38,2.68,205.19,1.88
5.40,206.70,2.33,209.93,2.75,205.57,1.93
5.60,207.17,2.39,210.49,2.83,205.96,1.99
5.80,207.65,2.45,211.06,2.90,206.36,2.04
6.00,208.15,2.51,211.65,2.97,206.78,2.09
6.20,208.65,2.56,212.25,3.03,207.20,2.13
6.40,209.17,2.61,212.86,3.10,207.63,2.18
6.60,209.70,2.67,213.49,3.16,208.07,2.22
6.80,210.24,2.71,214.12,3.21,208.52,2.26
7.00,210.78,2.76,214.77,3.27,208.97,2.29
7.20,211.34,2.80,215.43,3.31,209.43,2.33
7.40,211.90,2.84,216.10,3.36,209.90,2.36
7.60,212.48,2.87,216.77,3.40,210.38,2.39
7.80,213.05,2.91,217.46,3.44,210.86,2.42
8.00,213.64,2.94,218.15,3.48,211.34,2.44
8.20,214.23,2.97,218.85,3.51,211.84,2.47
8.40,214.83,2.99,219.56,3.54,212.33,2.49
