Time (s),Series 1 Position (mm),Series 1 Velocity (mm/s),Series 2 Position (mm),Series 2 Velocity (mm/s),Series 3 Position (mm),Series 3 Velocity (mm/s)
0.20000000000000284,239.65,1.63,245.1,1.77,235.85,1.48
0.1999999999999993,239.97,1.54,245.44,1.67,236.14,1.39
0.1999999999999993,240.27,1.44,245.77,1.57,236.41,1.3
0.1999999999999993,240.54,1.35,246.07,1.46,236.66,1.22
0.1999999999999993,240.8,1.25,246.35,1.36,236.89,1.13
0.20000000000000284,241.04,1.15,246.61,1.25,237.11,1.04
0.1999999999999993,241.26,1.05,246.85,1.14,237.31,0.95
0.1999999999999993,241.46,0.95,247.07,1.03,237.49,0.86
0.1999999999999993,241.64,0.84,247.26,0.92,237.65,0.76
0.1999999999999993,241.8,0.74,247.43,0.8,237.79,0.67
0.20000000000000284,241.94,0.64,247.58,0.69,237.92,0.57
0.1999999999999993,242.05,0.53,247.71,0.58,238.02,0.48
0.1999999999999993,242.15,0.42,247.81,0.46,238.11,0.38
0.1999999999999993,242.22,0.32,247.9,0.35,238.18,0.29
0.1999999999999993,242.28,0.21,247.95,0.23,238.22,0.19
0.20000000000000284,242.31,0.11,247.99,0.12,238.25,0.1
0.1999999999999993,242.32,0.03,248,0.03,238.26,0.02
0.1999999999999993,242.32,0.92,248,0,238.26,-0.04
0.1999999999999993,242.69,1.69,248,0,238.25,-0.33
0.1999999999999993,242.99,1.07,248,0,238.13,-1.08
0.20000000000000284,243.11,-0.29,248,0,237.81,-2.31
0.1999999999999993,242.88,-2.29,248,0,237.21,-3.79
0.1999999999999993,242.2,-4.4,248,0,236.3,-5.05
0.1999999999999993,241.12,-5.97,248,-1.77,235.19,-5.54
0.1999999999999993,239.81,-6.74,247.29,-4.17,234.08,-5.09
0.20000000000000284,238.43,-6.82,246.33,-5.13,233.15,-4.11
0.1999999999999993,237.08,-6.55,245.24,-6.15,232.44,-3.24
0.1999999999999993,235.81,-6.3,243.87,-7.34,231.86,-2.78
0.1999999999999993,234.56,-6.32,242.3,-7.92,231.33,-2.6
0.1999999999999993,233.28,-6.69,240.7,-7.99,230.82,-2.43
0.20000000000000284,231.89,-7.24,239.11,-8.47,230.35,-2.15
0.1999999999999993,230.38,-7.69,237.32,-9.96,229.96,-1.74
0.1999999999999993,228.81,-7.82,235.13,-11.72,229.66,-1.23
0.1999999999999993,227.25,-7.61,232.63,-12.46,229.47,-0.77
0.1999999999999993,225.77,-7.22,230.14,-11.99,229.35,-0.57
0.20000000000000284,224.37,-6.93,227.83,-11.61,229.24,-0.79
0.1999999999999993,223,-6.93,225.5,-12.4,229.04,-1.31
0.1999999999999993,221.59,-7.16,222.87,-13.84,228.71,-1.84
0.1999999999999993,220.13,-7.51,219.96,-14.47,228.3,-2.24
0.1999999999999993,218.59,-7.95,217.09,-13.42,227.82,-2.5
0.20000000000000284,216.95,-8.61,214.6,-11.19,227.3,-2.61
0.1999999999999993,215.15,-9.5,212.61,-9.17,226.78,-2.51
0.1999999999999993,213.15,-10.54,210.93,-8.57,226.29,-2.27
0.1999999999999993,210.93,-11.68,209.18,-9.44,225.87,-1.98
0.1999999999999993,208.48,-12.85,207.15,-10.62,225.5,-1.66
0.20000000000000284,205.79,-13.64,204.94,-10.64,225.2,-1.37
