phase,epi,trans,endo
0.0000,244.1669,248.0000,238.1744
0.0101,244.3326,248.0000,237.9925
0.0202,244.6382,248.0000,237.9254
0.0303,245.1102,248.0000,237.9562
0.0404,245.5982,248.0000,237.9358
0.0505,245.8262,248.0000,237.7131
0.0606,245.5360,248.0000,237.2449
0.0707,244.6063,247.2324,236.5668
0.0808,243.0901,245.1857,235.7077
0.0909,241.2026,243.6317,234.7053
0.1010,239.2653,242.5595,233.6837
0.1111,237.5708,241.5938,232.8210
0.1212,236.2267,240.4748,232.2026
0.1313,235.1243,239.2827,231.7571
0.1414,234.0664,238.2050,231.3646
0.1515,232.9161,237.1541,230.9942
0.1616,231.6399,235.7373,230.7081
0.1717,230.2615,233.6556,230.5489
0.1818,228.8147,231.0305,230.4623
0.1919,227.3235,228.2610,230.3350
0.2020,225.8026,225.6488,230.0914
0.2121,224.2739,223.2227,229.7529
0.2222,222.7743,220.8052,229.4208
0.2323,221.3172,218.1809,229.1959
0.2424,219.8412,215.3218,229.0854
0.2525,218.2198,212.5351,228.9739
0.2626,216.3529,210.2986,228.7058
0.2727,214.2641,208.8226,228.2299
0.2828,212.1076,207.7778,227.6599
0.2929,210.0456,206.5748,227.1603
0.3030,208.0918,204.9534,226.7765
0.3131,206.1037,203.1783,226.4203
0.3232,203.9680,202.0000,226.0097
0.3333,201.7965,202.0000,225.5577
0.3434,200.0000,202.0000,225.1209
0.3535,200.0000,202.0000,224.7319
0.3636,200.0000,202.0000,224.4130
0.3737,200.0000,202.0000,224.1937
0.3838,200.8528,202.0000,224.0691
0.3939,201.9241,202.0000,223.9682
0.4040,202.8018,202.0000,223.8115
0.4141,203.7873,202.0000,223.5973
0.4242,205.0509,202.0000,223.4134
0.4343,206.4796,202.0000,223.3872
0.4444,208.0100,202.0000,223.6391
0.4545,209.8256,204.3694,224.2336
0.4646,212.0943,206.8932,225.1165
0.4747,214.6747,209.4542,226.1099
0.4848,217.2130,212.2926,227.0122
0.4949,219.4688,215.2947,227.7275
0.5051,221.4733,218.1820,228.3208
0.5152,223.3964,220.8623,228.9540
0.5253,225.3249,223.4917,229.7429
0.5354,227.1830,226.2500,230.6580
0.5455,228.8334,229.1150,231.5668
0.5556,230.2235,231.8259,232.3638
0.5657,231.4230,234.0520,233.0452
0.5758,232.5303,235.6523,233.6634
0.5859,233.5587,236.8141,234.2251
0.5960,234.4338,237.8959,234.6612
0.6061,235.0970,239.0768,234.9074
0.6162,235.5759,240.1989,234.9859
0.6263,235.9465,241.0121,234.9780
0.6364,236.2607,241.5005,234.9334
0.6465,236.5294,241.8716,234.8512
0.6566,236.7533,242.2934,234.7477
0.6667,236.9465,242.7665,234.6837
0.6768,237.1271,243.2375,234.6973
0.6869,237.2963,243.7127,234.7442
0.6970,237.4395,244.2129,234.7477
0.7071,237.5560,244.6963,234.7002
0.7172,237.6795,245.0846,234.6771
0.7273,237.8542,245.3415,234.7475
0.7374,238.0901,245.4972,234.8950
0.7475,238.3479,245.6081,235.0391
0.7576,238.5669,245.7033,235.1139
0.7677,238.7106,245.7716,235.1132
0.7778,238.7927,245.8095,235.0754
0.7879,238.8674,245.8575,235.0424
0.7980,238.9843,245.9513,235.0290
0.8081,239.1433,246.0608,235.0172
0.8182,239.2926,246.1213,234.9791
0.8283,239.3799,246.1044,234.9161
0.8384,239.4098,246.0463,234.8688
0.8485,239.4437,246.0541,234.8785
0.8586,239.5362,246.2734,234.9419
0.8687,239.6743,246.7679,235.0060
0.8788,239.7903,247.4416,234.9988
0.8889,239.8381,248.0000,234.8766
0.8990,239.8524,248.0000,234.6770
0.9091,239.9258,248.0000,234.5285
0.9192,240.1238,248.0000,234.5743
0.9293,240.4287,248.0000,234.8682
0.9394,240.7723,248.0000,235.3523
0.9495,241.1129,248.0000,235.9300
0.9596,241.4706,248.0000,236.5313
0.9697,241.8997,248.0000,237.1007
0.9798,242.4410,248.0000,237.5651
0.9899,243.0943,248.0000,237.8689
1.0000,243.8160,248.0000,238.0460
