elapsed_s,pressure_mmhg
-52.524,9.124159042233009
-52.522,9.081328928158872
-52.52,9.038627947470129
-52.518,8.99606703722037
-52.516,8.953657038212674
-52.514,8.91140868790454
-52.512,8.869332613426318
-52.51,8.827439324722402
-52.508,8.785739207824252
-52.506,8.744242518263917
-52.504,8.70295937463637
-52.502,8.661899752318474
-52.5,8.621073477351949
-52.498,8.580490220497225
-52.496,8.540159491464792
-52.494,8.50009063333024
-52.492000000000004,8.460292817138804
-52.49,8.420775036704665
-52.488,8.381546103609791
-52.486000000000004,8.342614642406547
-52.484,8.30398908602788
-52.482,8.26567767140837
-52.480000000000004,8.227688435319015
-52.478,8.190029210418054
-52.476,8.152707621519717
-52.474000000000004,8.1157310820823
-52.472,8.079106790916626
-52.47,8.042841729115588
-52.468,8.006942657205197
-52.466,7.971416112517176
-52.464,7.936268406782969
-52.462,7.9015056239487755
-52.46,7.867133618211007
-52.458,7.833158012271313
-52.456,7.799584195809998
-52.454,7.766417324176272
-52.452,7.733662317293414
-52.45,7.701323858776549
-52.448,7.669406395260509
-52.446,7.637914135934976
-52.444,7.606851052284009
-52.442,7.5762208780268905
-52.44,7.546027109257028
-52.438,7.516273004775458
-52.436,7.486961586615208
-52.434,7.458095640752544
-52.432,7.429677718000977
-52.43,7.401710135083769
-52.428000000000004,7.37419497588058
-52.426,7.34713409284383
-52.424,7.320529108580233
-52.422000000000004,7.294381417592859
-52.42,7.26869218817904
-52.418,7.243462364479428
-52.416000000000004,7.218692668673567
-52.414,7.194383603317292
-52.412,7.170535453817264
-52.410000000000004,7.147148291037893
-52.408,7.1242219740358825
-52.406,7.101756152917607
-52.404,7.079750271814577
-52.402,7.058203571972304
-52.4,7.03711509494799
-52.398,7.016483685912543
-52.396,6.996307997052435
-52.394,6.976586491066796
-52.392,6.957317444754922
-52.39,6.938498952689162
-52.388,6.920128930968002
-52.386,6.902205121044076
-52.384,6.884725093621815
-52.382,6.867686252619521
-52.38,6.851085839190765
-52.378,6.834920935800222
-52.376,6.819188470349177
-52.374,6.803885220346137
-52.372,6.789007817118018
-52.37,6.774552750057505
-52.368,6.760516370902146
-52.366,6.746894898040769
-52.364000000000004,6.733684420842726
-52.362,6.720880904005558
-52.36,6.708480191916748
-52.358000000000004,6.696478013025441
-52.356,6.684869984220174
-52.354,6.673651615208938
-52.352000000000004,6.662818312898078
-52.35,6.65236538576673
-52.348,6.6422880482336515
-52.346000000000004,6.632581425013383
-52.344,6.6232405554587075
-52.342,6.614260397886404
-52.34,6.605635833883383
-52.338,6.597361672590504
-52.336,6.589432654961589
-52.334,6.581843457995445
-52.332,6.574588698938974
-52.33,6.567662939459634
-52.328,6.561060689785651
-52.326,6.554776412812413
-52.324,6.548804528173574
-52.322,6.5431394162754675
-52.32,6.5377754222935165
-52.318,6.532706860129424
-52.316,6.527928016327909
-52.314,6.523433153951701
-52.312,6.519216516413388
-52.31,6.515272331262689
-52.308,6.5115948139277
-52.306,6.508178171408708
-52.304,6.505016605923237
-52.302,6.502104318501056
-52.300000000000004,6.499435512527899
-52.298,6.497004397236674
-52.296,6.494805191144817
-52.294000000000004,6.492832125436388
-52.292,6.491079447287377
-52.29,6.489541423132565
-52.288000000000004,6.488212341872187
-52.286,6.487086518016453
-52.284,6.48615829476594
-52.282000000000004,6.485422047025818
-52.28,6.484872184352029
-52.278,6.484503153827592
-52.276,6.484309442867186
-52.274,6.484285581948174
-52.272,6.484426147266209
-52.27,6.484725763313675
-52.268,6.48517910537934
-52.266,6.4857809019678365
-52.264,6.486525937137689
-52.262,6.487409052756862
-52.26,6.488425150674899
-52.258,6.489569194810812
-52.256,6.4908362131559745
-52.254,6.49222129969127
-52.252,6.493719616217914
-52.25,6.495326394101391
-52.248,6.497036935928111
-52.246,6.498846617074462
-52.244,6.500750887188136
-52.242000000000004,6.502745271581685
-52.24,6.504825372538371
-52.238,6.506986870530402
-52.236000000000004,6.5092255253497555
-52.234,6.511537177151988
-52.232,6.513917747413551
-52.230000000000004,6.516363239803322
-52.228,6.51886974096914
-52.226,6.52143342124024
-52.224000000000004,6.524050535246538
-52.222,6.526717422455671
-52.22,6.529430507628684
-52.218,6.5321863011951145
-52.216,6.534981399548177
-52.214,6.537812485260736
-52.212,6.540676327222912
-52.21,6.543569780702324
-52.208,6.546489787328223
-52.206,6.5494333750009766
-52.204,6.5523976577285135
-52.202,6.555379835391478
-52.2,6.558377193438864
-52.198,6.5613871025160035
-52.196,6.564407018026893
-52.194,6.567434479633053
-52.192,6.570467110691268
-52.19,6.573502617632719
-52.188,6.576538789286008
-52.186,6.579573496146604
-52.184,6.582604689595081
-52.182,6.585630401066519
-52.18,6.588648741173368
-52.178000000000004,6.591657898784191
-52.176,6.594656140060673
-52.174,6.597641807455251
-52.172000000000004,6.600613318671504
-52.17,6.603569165589366
-52.168,6.606507913157118
-52.166000000000004,6.6094281982521705
-52.164,6.6123287285126375
-52.162,6.615208281141721
-52.160000000000004,6.618065701686868
-52.158,6.6208999027956335
-52.156,6.6237098629502436
-52.154,6.626494625182903
-52.152,6.629253295773926
-52.15,6.6319850429347404
-52.148,6.634689095477716
-52.146,6.637364741474688
-52.144,6.640011326905993
-52.142,6.642628254301821
-52.14,6.64521498137761
-52.138,6.647771019665105
-52.136,6.650295933140537
-52.134,6.652789336851269
-52.132,6.655250895542217
-52.13,6.657680322283387
-52.128,6.660077377099913
-52.126,6.6624418656060085
-52.124,6.664773637644131
-52.122,6.667072585930538
-52.12,6.669338644708131
-52.118,6.671571788407221
-52.116,6.673772030314624
-52.114000000000004,6.675939421251343
-52.112,6.678074048259105
-52.11,6.680176033296092
-52.108000000000004,6.682245531942275
-52.106,6.684282732114863
-52.104,6.6862878527944405
-52.102000000000004,6.688261142762406
-52.1,6.690202879350356
-52.098,6.692113367202037
-52.096000000000004,6.693992937048443
-52.094,6.6958419444965465
-52.092,6.697660768831987
-52.09,6.699449811835913
-52.088,6.7012094966159905
-52.086,6.702940266451489
-52.084,6.704642583652292
-52.082,6.7063169284316535
-52.08,6.7079637977924875
-52.078,6.709583704426922
-52.076,6.711177175628868
-52.074,6.7127447522193915
-52.072,6.71428698748482
-52.07,6.715804446127613
-52.068,6.717297703230103
-52.066,6.718767343231154
-52.064,6.72021395891573
-52.062,6.721638150417298
-52.06,6.723040524233041
-52.058,6.724421692251857
-52.056,6.725782270795165
-52.054,6.7271228796706275
-52.052,6.728444141239038
-52.050000000000004,6.729746679494737
-52.048,6.731031119160053
-52.046,6.732298084794219
-52.044000000000004,6.733548199917246
-52.042,6.734782086149208
-52.04,6.736000362365446
-52.038000000000004,6.73720364386823
-52.036,6.738392541575434
-52.034,6.739567661226854
-52.032000000000004,6.7407296026087815
-52.03,6.741878958797433
-52.028,6.743016315421735
-52.026,6.744142249945921
-52.024,6.745257330972396
-52.022,6.74636211756535
-52.02,6.747457158595667
-52.018,6.748542992107733
-52.016,6.749620144708765
-52.014,6.750689130981354
-52.012,6.751750452919938
-52.01,6.752804599391927
-52.008,6.7538520456241695
-52.006,6.75489325271542
-52.004,6.755928667175434
-52.002,6.756958720491363
-52.0,6.757983828722094
-51.998,6.759004392121125
-51.996,6.760020794788524
-51.994,6.7610334043524745
-51.992000000000004,6.762042571680835
-51.99,6.7630486306230235
-51.988,6.764051897782363
-51.986000000000004,6.765052672318857
-51.984,6.766051235782165
-51.982,6.767047851974405
-51.980000000000004,6.768042766842306
-51.978,6.769036208398253
-51.976,6.7700283866698365
-51.974000000000004,6.771019493677806
-51.972,6.7720097034424525
-51.97,6.772999172018623
-51.968,6.7739880375594845
-51.966,6.774976420409002
-51.964,6.775964423222904
-51.962,6.776952131117726
-51.96,6.777939611847471
-51.958,6.778926916007353
-51.956,6.7799140772640705
-51.954,6.780901112611944
-51.952,6.7818880226540506
-51.95,6.782874791907257
-51.948,6.783861389129806
-51.946,6.78484776766991
-51.944,6.785833865833627
-51.942,6.786819607270208
-51.94,6.787804901373183
-51.938,6.788789643695626
-51.936,6.789773716378245
-51.934,6.7907569885890915
-51.932,6.791739316973844
-51.93,6.792720546115656
-51.928000000000004,6.793700509003624
-51.926,6.794679027508945
-51.924,6.7956559128678755
-51.922000000000004,6.796630966170774
-51.92,6.797603978856651
-51.918,6.798574733212828
-51.916000000000004,6.799543002879359
-51.914,6.800508553357946
-51.912,6.801471142525064
-51.910000000000004,6.802430521149084
-51.908,6.803386433411136
-51.906,6.804338617429396
-51.904,6.805286805786337
-51.902,6.80623072605832
-51.9,6.807170101346733
-51.898,6.808104650809768
-51.896,6.809034090193857
-51.894,6.809958132363737
-51.892,6.810876487830111
-51.89,6.811788865273895
-51.888,6.812694972066046
-51.886,6.813594514782033
-51.884,6.814487199710061
-51.882,6.815372733352226
-51.88,6.816250822917777
-51.878,6.817121176807638
-51.876,6.817983505089521
-51.874,6.8188375199631945
-51.872,6.819682936215765
-51.87,6.8205194716670015
-51.868,6.821346847604768
-51.866,6.822164789210603
-51.864000000000004,6.822973025975464
-51.862,6.823771292105656
-51.86,6.824559326919014
-51.858000000000004,6.825336875231366
-51.856,6.826103687733265
-51.854,6.826859521356936
-51.852000000000004,6.827604139633292
-51.85,6.828337313038948
-51.848,6.8290588193332145
-51.846000000000004,6.829768443885108
-51.844,6.830465979990518
-51.842,6.831151229179736
-51.84,6.831824001515625
-51.838,6.832484115882791
-51.836,6.833131400268141
-51.834,6.833765692033206
-51.832,6.8343868381785065
-51.83,6.834994695600036
-51.828,6.83558913133777
-51.826,6.836170022815871
-51.824,6.836737258074296
-51.822,6.837290735991515
-51.82,6.837830366498234
-51.818,6.838356070782108
-51.816,6.838867781483571
-51.814,6.839365442883048
-51.812,6.839849011080036
-51.81,6.840318454164608
-51.808,6.840773752381964
-51.806,6.841214898290457
-51.804,6.841641896913388
-51.802,6.842054765884619
-51.800000000000004,6.842453535587967
-51.798,6.8428382492903115
-51.796,6.843208963268285
-51.794000000000004,6.843565746928351
-51.792,6.843908682919997
-51.79,6.844237867241747
-51.788000000000004,6.844553409339681
-51.786,6.8448554321981145
-51.784,6.845144072422086
-51.782000000000004,6.845419480311212
-51.78,6.845681819924464
-51.778,6.8459312691353595
-51.776,6.846168019676989
-51.774,6.846392277176248
-51.772,6.846604261176553
-51.77,6.846804205148385
-51.768,6.846992356487005
-51.766,6.847168976496841
-51.764,6.847334340362081
-51.762,6.847488737103157
-51.76,6.847632469518807
-51.758,6.8477658541134625
-51.756,6.847889221009624
-51.754,6.848002913844841
-51.752,6.848107289652862
-51.75,6.848202718728534
-51.748,6.8482895844760225
-51.746,6.848368283240082
-51.744,6.848439224120291
-51.742000000000004,6.848502828768395
-51.74,6.8485595311691005
-51.738,6.848609777404871
-51.736000000000004,6.848654025405441
