phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,234.9447,244.9254,231.1602,25.2236,25.2236,8.0000
0.0204,234.0001,244.1944,229.7650,32.0581,32.0581,53.4921
0.0408,232.9142,243.4546,228.3200,43.7167,43.7167,81.6583
0.0612,231.6090,242.6284,226.8313,59.7438,59.7438,92.2417
0.0816,230.0705,241.5737,225.3641,79.6749,79.6749,101.1377
0.1020,228.3083,240.1619,223.9908,95.0100,95.0100,108.3504
0.1224,226.3059,238.3518,222.7328,104.5553,104.5553,113.8854
0.1429,224.0006,236.2012,221.5425,115.9893,115.9893,117.7476
0.1633,221.3044,233.8332,220.3386,127.1687,127.1687,119.9418
0.1837,218.1582,231.4083,219.0648,132.8165,132.8165,120.4903
0.2041,214.6012,229.1160,217.7320,133.0084,133.0084,120.1031
0.2245,210.8256,227.1550,216.4179,131.6651,131.6651,119.2170
0.2449,207.1675,225.6780,215.2223,130.0092,130.0092,117.9220
0.2653,204.0109,224.7212,214.2024,129.3364,129.3364,116.3084
0.2857,201.6454,224.1711,213.3348,130.5230,130.5230,114.3838
0.3061,200.1778,223.7999,212.5433,131.7649,131.7649,110.8994
0.3265,200.0000,223.3602,211.7881,131.6824,131.6824,105.8703
0.3469,200.0000,222.6997,211.1510,128.0155,128.0155,99.8056
0.3673,200.8160,221.8487,210.8425,114.5961,114.5961,91.6269
0.3878,202.7707,221.0409,211.1116,89.9861,89.9861,80.1613
0.4082,205.6150,220.6490,212.1166,59.4635,59.4635,60.3772
0.4286,209.1223,221.0544,213.8444,31.6215,31.6215,34.2460
0.4490,212.8892,222.4989,216.1164,13.4636,13.4636,12.0000
0.4694,216.4764,224.9749,218.6580,7.8610,7.8610,5.8007
0.4898,219.5566,228.1977,221.1761,6.7677,6.7677,5.0012
0.5102,221.9821,231.6799,223.4151,6.9623,6.9623,5.0041
0.5306,223.7643,234.8895,225.1911,7.3669,7.3669,5.0097
0.5510,225.0100,237.4286,226.4164,7.8943,7.8943,5.0190
0.5714,225.8613,239.1499,227.1119,8.9812,8.9812,5.0329
0.5918,226.4572,240.1525,227.3968,8.9362,8.9362,5.0523
0.6122,226.9136,240.6714,227.4455,9.5549,9.5549,5.0780
0.6327,227.3128,240.9359,227.4269,9.5373,9.5373,5.1111
0.6531,227.6990,241.0787,227.4501,10.0215,10.0215,5.1524
0.6735,228.0807,241.1361,227.5418,10.7058,10.7058,5.2028
0.6939,228.4385,241.1139,227.6600,11.4131,11.4131,5.2633
0.7143,228.7389,241.0613,227.7335,11.3867,11.3867,5.3348
0.7347,228.9520,241.0959,227.7061,11.5206,11.5206,5.4182
0.7551,229.0698,241.3566,227.5700,10.4421,10.4421,5.5144
0.7755,229.1178,241.9125,227.3788,10.3794,10.3794,5.6242
0.7959,229.1529,242.6917,227.2376,10.1032,10.1032,5.7488
0.8163,229.2485,243.4915,227.2685,9.3538,9.3538,5.8888
0.8367,229.4728,244.0770,227.5620,9.4608,9.4608,6.0454
0.8571,229.8707,244.3103,228.1322,9.6457,9.6457,6.2193
0.8776,230.4489,244.2259,228.8986,9.4180,9.4180,6.4115
0.8980,231.1633,243.9996,229.7107,9.2391,9.2391,6.6229
0.9184,231.9182,243.8374,230.4100,9.2471,9.2471,6.8544
0.9388,232.5912,243.8630,230.8951,9.2672,9.2672,7.1070
0.9592,233.0831,244.0791,231.1514,12.0671,12.0671,7.3815
0.9796,233.3698,244.4132,231.2334,16.4176,16.4176,7.6789
1.0000,233.5219,244.7888,231.2267,17.1448,17.1448,8.0000
