phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,236.7222,246.4916,232.2034,20.6912,20.6912,8.0000
0.0204,236.0485,245.5645,231.2986,28.2840,28.2840,53.4921
0.0408,235.1962,244.5254,230.2880,40.2303,40.2303,81.6583
0.0612,234.0460,243.2861,229.1147,55.4970,55.4970,92.2417
0.0816,232.5600,241.7995,227.7873,73.9603,73.9603,101.1377
0.1020,230.7704,240.0683,226.3653,85.6108,85.6108,108.3504
0.1224,228.7407,238.1499,224.9233,93.7356,93.7356,113.8854
0.1429,226.5206,236.1574,223.5148,101.2729,101.2729,117.7476
0.1633,224.1177,234.2479,222.1531,107.8238,107.8238,119.9418
0.1837,221.4995,232.5947,220.8169,112.7510,112.7510,120.4903
0.2041,218.6254,231.3410,219.4738,115.3901,115.3901,120.1031
0.2245,215.4948,230.5443,218.1044,116.3191,116.3191,119.2170
0.2449,212.1913,230.1334,216.7181,116.8053,116.8053,117.9220
0.2653,208.9043,229.9064,215.3576,118.1917,118.1917,116.3084
0.2857,205.9167,229.5833,214.0963,119.9016,119.9016,114.3838
0.3061,203.5615,228.9022,213.0300,122.0828,122.0828,110.8994
0.3265,202.1566,227.7263,212.2659,123.9981,123.9981,105.8703
0.3469,201.9346,226.1182,211.9096,123.3829,123.3829,99.8056
0.3673,202.9857,224.3492,212.0506,118.3075,118.3075,91.6269
0.3878,205.2275,222.8362,212.7465,100.6910,100.6910,80.1613
0.4082,208.4122,222.0267,214.0073,74.9841,74.9841,60.3772
0.4286,212.1712,222.2688,215.7856,44.0845,44.0845,34.2460
0.4490,216.0863,223.7102,217.9712,20.1996,20.1996,12.0000
0.4694,219.7700,226.2560,220.3925,8.8443,8.8443,5.8007
0.4898,222.9333,229.5940,222.8325,7.0656,7.0656,5.0012
0.5102,225.4250,233.2757,225.0650,6.8910,6.8910,5.0041
0.5306,227.2337,236.8274,226.9030,7.2282,7.2282,5.0097
0.5510,228.4582,239.8548,228.2418,6.9811,6.9811,5.0190
0.5714,229.2567,242.1163,229.0770,7.5504,7.5504,5.0329
0.5918,229.7961,243.5474,229.4922,7.6669,7.6669,5.0523
0.6122,230.2111,244.2419,229.6230,8.6433,8.6433,5.0780
0.6327,230.5850,244.4005,229.6109,8.5386,8.5386,5.1111
0.6531,230.9495,244.2653,229.5643,8.8551,8.8551,5.1524
0.6735,231.2982,244.0601,229.5377,9.6014,9.6014,5.2028
0.6939,231.6078,243.9511,229.5353,10.4283,10.4283,5.2633
0.7143,231.8571,244.0307,229.5322,10.8874,10.8874,5.3348
0.7347,232.0411,244.3200,229.5043,10.5811,10.5811,5.4182
0.7551,232.1756,244.7832,229.4512,10.5708,10.5708,5.5144
0.7755,232.2947,245.3460,229.4056,10.1183,10.1183,5.6242
0.7959,232.4419,245.9162,229.4248,10.1482,10.1482,5.7488
0.8163,232.6584,246.4032,229.5690,10.0756,10.0756,5.8888
0.8367,232.9720,246.7377,229.8754,9.7755,9.7755,6.0454
0.8571,233.3886,246.8877,230.3397,9.5591,9.5591,6.2193
0.8776,233.8900,246.8672,230.9115,10.0703,10.0703,6.4115
0.8980,234.4375,246.7312,231.5074,10.1221,10.1221,6.6229
0.9184,234.9823,246.5585,232.0371,10.8956,10.8956,6.8544
0.9388,235.4791,246.4234,232.4321,10.9930,10.9930,7.1070
0.9592,235.8998,246.3714,232.6665,11.7971,11.7971,7.3815
0.9796,236.2435,246.4057,232.7620,14.2746,14.2746,7.6789
1.0000,236.5384,246.4906,232.7780,14.6565,14.6565,8.0000
