phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,236.8156,245.8356,232.8651,20.1040,20.1040,8.0000
0.0204,236.0832,244.7140,231.9396,23.7870,23.7870,53.4921
0.0408,235.1420,243.5358,230.8733,35.2148,35.2148,81.6583
0.0612,233.8630,242.2492,229.5969,49.8107,49.8107,92.2417
0.0816,232.2255,240.8104,228.1364,66.3495,66.3495,101.1377
0.1020,230.2957,239.1886,226.5870,81.9824,81.9824,108.3504
0.1224,228.1673,237.3856,225.0551,92.0434,92.0434,113.8854
0.1429,225.8993,235.4617,223.6038,99.5195,99.5195,117.7476
0.1633,223.4835,233.5507,222.2294,107.2799,107.2799,119.9418
0.1837,220.8579,231.8442,220.8778,114.0423,114.0423,120.4903
0.2041,217.9554,230.5402,219.4869,118.4604,118.4604,120.1031
0.2245,214.7645,229.7648,218.0288,120.5745,120.5745,119.2170
0.2449,211.3738,229.4994,216.5300,121.1824,121.1824,117.9220
0.2653,207.9822,229.5501,215.0669,120.9225,120.9225,116.3084
0.2857,204.8735,229.5871,213.7431,120.7556,120.7556,114.3838
0.3061,202.3667,229.2501,212.6638,122.7391,122.7391,110.8994
0.3265,200.7602,228.2854,211.9166,126.3434,126.3434,105.8703
0.3469,200.2826,226.6590,211.5690,128.7649,128.7649,99.8056
0.3673,201.0537,224.6004,211.6762,128.5114,128.5114,91.6269
0.3878,203.0539,222.5551,212.2870,122.4201,122.4201,80.1613
0.4082,206.1063,221.0619,213.4355,105.9125,105.9125,60.3772
0.4286,209.8888,220.5980,215.1167,78.6323,78.6323,34.2460
0.4490,213.9835,221.4410,217.2574,47.9208,47.9208,12.0000
0.4694,217.9586,223.5922,219.7017,22.7975,22.7975,5.8007
0.4898,221.4586,226.7842,222.2266,10.2353,10.2353,5.0012
0.5102,224.2699,230.5635,224.5889,7.2478,7.2478,5.0041
0.5306,226.3425,234.4101,226.5823,6.8252,6.8252,5.0097
0.5510,227.7640,237.8539,228.0828,6.8292,6.8292,5.0190
0.5714,228.7024,240.5639,229.0685,6.9660,6.9660,5.0329
0.5918,229.3423,242.3945,229.6106,7.3479,7.3479,5.0523
0.6122,229.8353,243.3824,229.8422,7.5814,7.5814,5.0780
0.6327,230.2757,243.6999,229.9116,7.9221,7.9221,5.1111
0.6531,230.7011,243.5871,229.9385,8.2992,8.2992,5.1524
0.6735,231.1073,243.2883,229.9870,8.6434,8.6434,5.2028
0.6939,231.4701,243.0078,230.0635,8.9781,8.9781,5.2633
0.7143,231.7651,242.8875,230.1354,9.4979,9.4979,5.3348
0.7347,231.9820,243.0013,230.1636,10.1040,10.1040,5.4182
0.7551,232.1321,243.3584,230.1327,10.4036,10.4036,5.5144
0.7755,232.2478,243.9108,230.0686,10.7172,10.7172,5.6242
0.7959,232.3759,244.5658,230.0353,10.4382,10.4382,5.7488
0.8163,232.5663,245.2060,230.1133,10.1349,10.1349,5.8888
0.8367,232.8581,245.7183,230.3666,9.5048,9.5048,6.0454
0.8571,233.2687,246.0249,230.8142,9.1785,9.1785,6.2193
0.8776,233.7856,246.1069,231.4149,9.3009,9.3009,6.4115
0.8980,234.3682,246.0094,232.0757,9.5604,9.5604,6.6229
0.9184,234.9573,245.8242,232.6809,9.7018,9.7018,6.8544
0.9388,235.4950,245.6541,233.1324,10.4298,10.4298,7.1070
0.9592,235.9438,245.5735,233.3839,10.9915,10.9915,7.3815
0.9796,236.3012,245.6011,233.4548,12.2702,12.2702,7.6789
1.0000,236.6006,245.6968,233.4204,14.8692,14.8692,8.0000
