phase,epi,trans,endo
0.0000,236.9832,248.0000,233.4870
0.0204,236.2922,244.7464,233.2247
0.0408,235.3735,241.1083,232.8601
0.0612,234.1765,237.1854,232.3657
0.0816,232.8039,233.0964,231.7997
0.1020,231.3364,229.2194,231.2377
0.1224,229.7349,226.0911,230.6934
0.1429,227.9168,224.1738,230.0868
0.1633,225.8936,223.5973,229.2719
0.1837,223.8148,224.0516,228.1006
0.2041,221.8706,224.9569,226.4905
0.2245,220.1114,225.7840,224.4828
0.2449,218.3100,226.2307,222.2768
0.2653,216.0285,226.1525,220.1996
0.2857,212.9803,225.4057,218.5851
0.3061,209.5103,223.8073,217.6425
0.3265,206.7373,221.2963,217.4332
0.3469,205.9962,218.2225,217.9548
0.3673,207.8040,215.5221,219.1806
0.3878,211.2290,214.4877,220.9421
0.4082,214.4572,216.0699,222.7956
0.4286,216.2274,220.1208,224.1547
0.4490,216.7367,225.2844,224.6908
0.4694,217.1283,229.7956,224.6012
0.4898,218.2812,232.5663,224.4407
0.5102,220.2067,233.6723,224.7017
0.5306,222.3793,234.0254,225.5309
0.5510,224.3450,234.6713,226.7386
0.5714,225.9936,236.2030,227.9843
0.5918,227.4389,238.5679,228.9710
0.6122,228.7825,241.2800,229.5510
0.6327,229.9976,243.7951,229.7381
0.6531,230.9806,245.7599,229.6567
0.6735,231.6626,247.0542,229.4695
0.6939,232.0683,247.7287,229.3175
0.7143,232.2927,247.9404,229.2871
0.7347,232.4436,247.8987,229.3967
0.7551,232.5927,247.8017,229.5947
0.7755,232.7525,247.7759,229.7787
0.7959,232.8884,247.8551,229.8388
0.8163,232.9624,247.9943,229.7151
0.8367,232.9797,248.0000,229.4507
0.8571,232.9996,248.0000,229.2071
0.8776,233.1081,247.7950,229.2038
0.8980,233.3791,247.4205,229.5914
0.9184,233.8466,247.1074,230.3452
0.9388,234.4947,247.0295,231.2703
0.9592,235.2671,247.2433,232.1211
0.9796,236.0976,247.6858,232.7515
1.0000,236.9429,248.0000,233.2003
