phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,234.0326,243.4307,229.2058,18.7236,22.8422,8.0000
0.0204,233.6354,243.3698,228.3865,21.3365,28.0134,53.4921
0.0408,232.7353,243.4209,227.0092,29.3486,40.8845,81.6583
0.0612,231.2779,243.5833,225.1423,40.2766,55.3074,92.2417
0.0816,229.5751,243.4808,223.3198,55.2860,72.2398,101.1377
0.1020,227.8592,242.5115,221.9313,71.5250,89.8749,108.3504
0.1224,226.0574,240.4890,220.9478,85.2204,104.7100,113.8854
0.1429,223.9813,237.8722,220.1235,93.3905,112.6236,117.7476
0.1633,221.5827,235.2038,219.2745,100.7379,117.6513,119.9418
0.1837,218.9123,232.5722,218.3335,105.0564,119.1471,120.4903
0.2041,215.8916,229.8120,217.2565,104.9149,117.5367,120.1031
0.2245,212.3289,227.0347,216.0174,102.9096,115.0035,119.2170
0.2449,208.3085,224.6856,214.7358,101.5208,112.3853,117.9220
0.2653,204.4990,223.1094,213.6983,101.2928,110.0815,116.3084
0.2857,201.8304,222.2554,213.1103,102.3152,109.4609,114.3838
0.3061,200.7056,221.8091,212.8126,103.3374,109.4024,110.8994
0.3265,200.6254,221.4423,212.3702,103.5056,108.1778,105.8703
0.3469,200.7699,220.9050,211.5447,100.8296,103.7395,99.8056
0.3673,200.9517,220.0697,210.6491,91.9059,93.5163,91.6269
0.3878,201.8452,219.0459,210.3480,75.3917,77.3156,80.1613
0.4082,204.1920,218.2144,211.0895,54.6455,56.7333,60.3772
0.4286,207.8874,218.0560,212.7738,32.6582,33.8996,34.2460
0.4490,211.9991,218.9351,214.9510,15.0457,16.2939,5.0001
0.4694,215.5999,221.0159,217.2344,5.8051,7.9505,5.0002
0.4898,218.3857,224.2295,219.4677,3.4187,6.2612,5.0012
0.5102,220.5394,228.1758,221.5831,3.1988,5.8535,5.0041
0.5306,222.2736,232.1162,223.4306,3.5553,5.6134,5.0097
0.5510,223.6315,235.2629,224.7951,4.3845,6.1101,5.0190
0.5714,224.5964,237.2225,225.5502,4.8997,6.5604,5.0329
0.5918,225.2294,238.1772,225.7705,5.6587,7.1958,5.0523
0.6122,225.6662,238.6231,225.6983,5.7526,6.9407,5.0780
0.6327,226.0313,238.9539,225.5994,6.0539,6.9145,5.1111
0.6531,226.3847,239.2748,225.6275,6.7953,7.4427,5.1524
0.6735,226.7353,239.5019,225.7854,7.6187,8.1332,5.2028
0.6939,227.0791,239.5259,225.9845,8.1471,8.5874,5.2633
0.7143,227.4074,239.3028,226.1326,8.4585,8.8289,5.3348
0.7347,227.6848,238.9144,226.1819,8.3820,8.6482,5.4182
0.7551,227.8540,238.6141,226.1281,7.5571,7.6489,5.5144
0.7755,227.8953,238.7385,225.9943,6.4629,6.4110,5.6242
0.7959,227.8854,239.4495,225.8341,6.1167,6.0431,5.7488
0.8163,227.9614,240.5156,225.7483,6.0833,6.0334,5.8888
0.8367,228.2105,241.3943,225.8892,6.0908,5.8991,6.0454
0.8571,228.6200,241.6020,226.4097,6.3073,5.8941,6.2193
0.8776,229.1536,241.0849,227.3330,6.0751,5.7303,6.4115
0.8980,229.8302,240.2917,228.4333,5.7822,5.3563,6.6229
0.9184,230.6697,239.8557,229.3250,5.6975,5.4054,6.8544
0.9388,231.5681,240.1167,229.7576,5.6745,5.5519,7.1070
0.9592,232.2937,240.9156,229.8009,6.8478,7.1052,7.3815
0.9796,232.6675,241.8551,229.7000,10.7627,11.8020,7.6789
1.0000,232.7528,242.7195,229.6087,13.9284,16.6422,8.0000
