time,twist,height,volume,pressure,epi_mm,trans_mm,endo_mm
0.0,-2.8072568864570577,70.10491817525177,125.66161017170377,5.9644671851099735,235.86848958333334,247.87708333333333,233.80520833333333
0.1,-2.8030458751044818,70.0878215571107,125.01725661410224,5.9534950270718845,235.903730919967,247.99005775577555,233.86221122112212
0.2,-2.7948588122324622,70.03495510925897,122.89725318769457,5.9554865118035325,235.90027341171617,248.03399401815184,233.914479269802
0.30000000000000004,-2.8016846262890565,70.00755426267847,121.05970324756068,6.159187894331126,235.82363138427817,247.2814516194268,233.79173360350742
0.4,-2.799182220349668,70.01835959758115,119.50950631912963,6.818291602915989,235.6481563063444,246.75862984561647,233.68954618125986
0.5,-2.7613189920099885,70.05148764731503,118.24641182916156,8.210060263382521,235.40031198432348,245.8345667103478,233.4936371957509
0.6000000000000001,-2.680519091577679,70.06841231920481,117.12776352770256,10.46270262769657,235.096573019802,244.48829465759084,233.20029625618815
0.7000000000000001,-2.551809558286969,70.02269636990866,115.93190066100117,13.535389231643038,234.78374526515157,243.09508522727302,232.89120501893944
0.8,-2.3568271892542336,69.88223261951269,114.57565917836554,17.262222467158065,234.4849928513072,241.9695031658498,232.65484323937912
0.9,-2.077036671255054,69.64922194906843,113.22071953328982,21.372547158957474,234.17265625000005,240.78121132425758,232.39655399133667
1.0,-1.717477524077766,69.36227115059712,112.12822966401644,25.620852911053973,233.84973958333333,239.59908854166667,232.14244791666667
1.1,-1.3077610399748876,69.07538651359802,111.39495723504126,29.956804606975254,233.5068662334984,237.67730636344922,231.71764387376246
1.2000000000000002,-0.880782213713459,68.82882020592079,110.80270058942183,34.44577591861486,233.14764855926998,237.22507530506581,231.61985340613896
1.3,-0.4555367720998736,68.63365749430805,109.9209673177898,39.07455315822114,232.77239583333338,235.64228515625018,231.2645416666667
1.4000000000000001,-0.0371238384375376,68.4768987284241,108.4160013104859,43.752366272094584,232.38141458119028,234.88299993503816,231.09495221285522
1.5,0.3748498857033444,68.33533569950744,106.32842842402401,48.40997133601147,231.98454775165018,233.9951049401816,230.8944061984324
1.6,0.7833848618755092,68.18567660621379,104.06883745705841,52.99122525187965,231.5812886757426,232.96993992367993,230.66235174298683
1.7000000000000002,1.2017895972621584,68.0107943972544,102.1249525524794,57.44306447437699,231.16640625000014,231.97343750000027,230.43242187500005
1.8,1.6601012506434583,67.80667420727511,100.7268765349524,61.77581057901215,230.74661458333335,231.0151041666667,230.21263020833337
1.9000000000000001,2.1915333364871556,67.58593963317176,99.72328930815416,66.00869120520794,230.3285762169967,230.08586530528063,229.99947014232677
2.0,2.8033161116935914,67.3696939207408,98.73926879807227,70.02447295876586,229.9046913675743,229.19087768151817,229.7905283106436
2.1,3.4620801374047727,67.17049173978445,97.47242618392234,73.55165289488616,229.49287939133993,228.35932393790867,229.600354881536
2.2,4.1125186205708255,66.98024815586643,95.88983943830091,76.33222328913617,229.0731041666667,227.54960416666677,229.41528906250002
2.3000000000000003,4.716175015253442,66.77261896759352,94.20923663331655,78.31872591180354,228.6478112768309,226.75159985269377,229.23909964225595
2.4000000000000004,5.276642035302963,66.51713247046929,92.73483336013517,79.70510505418966,228.22348223857207,225.96643982605187,229.07557736650486
2.5,5.8248478207475936,66.1956250830866,91.6873132905755,80.79769483565958,227.800585105158,225.2253493082926,228.92618190065366
2.6,6.380140041131955,65.81243778602955,91.12562189689818,81.85972774086584,227.36979166666674,224.25364583333348,228.74218750000003
2.7,6.929197447087421,65.39365998436277,90.96670680443212,83.01902075319553,226.91666100543486,223.72003851879754,228.6426108031999
2.8000000000000003,7.437331656200411,64.97514753430146,91.05293588020822,84.25884894768711,226.4686056105611,223.05859632838292,228.52408725247528
