phase,epi,trans,endo
0.0000,238.1914,245.0592,233.2740
0.0101,238.2304,244.5628,233.0783
0.0202,238.2250,243.8776,232.9423
0.0303,238.1328,242.7642,232.7757
0.0404,237.9053,241.0354,232.3702
0.0505,237.4879,238.8280,231.6354
0.0606,236.8429,236.6667,230.7324
0.0707,235.9864,235.0443,229.8780
0.0808,234.9997,234.0080,229.1111
0.0909,233.9906,233.2706,228.3445
0.1010,233.0396,232.5738,227.5485
0.1111,232.1730,231.8363,226.7970
0.1212,231.3687,231.0847,226.1832
0.1313,230.5827,230.3581,225.7352
0.1414,229.7756,229.6713,225.4040
0.1515,228.9225,229.0285,225.1212
0.1616,228.0118,228.4404,224.8519
0.1717,227.0398,227.9166,224.5833
0.1818,226.0003,227.4419,224.2923
0.1919,224.8691,226.9558,223.9484
0.2020,223.5966,226.3645,223.5304
0.2121,222.1189,225.5980,223.0245
0.2222,220.3799,224.6723,222.4243
0.2323,218.3462,223.6956,221.7586
0.2424,216.0140,222.8180,221.0935
0.2525,213.4163,222.1579,220.4656
0.2626,210.6369,221.7524,219.8377
0.2727,207.8282,221.5706,219.1759
0.2828,205.2076,221.5750,218.5288
0.2929,203.0080,221.7779,217.9446
0.3030,201.3978,222.2437,217.3324
0.3131,200.4156,223.0217,216.4836
0.3232,200.0000,224.0858,215.2269
0.3333,200.0000,225.3638,213.5331
0.3434,200.0000,226.8083,211.4938
0.3535,200.0000,228.4022,209.2233
0.3636,200.0000,230.1147,206.7937
0.3737,200.0000,231.8793,204.2904
0.3838,200.0000,233.5633,201.9180
0.3939,200.0000,234.8754,200.0164
0.4040,200.0000,235.3107,200.0000
0.4141,200.0000,234.2956,200.0000
0.4242,200.0000,231.4761,200.3420
0.4343,200.0000,226.9336,202.5258
0.4444,200.0000,221.2287,205.1574
0.4545,201.3759,215.3150,207.9682
0.4646,203.4030,210.3201,211.1023
0.4747,205.9061,207.1766,214.7265
0.4848,208.7877,206.2623,218.4487
0.4949,211.9240,207.3365,221.4870
0.5051,215.1417,209.8400,223.4534
0.5152,218.2421,213.3222,224.6671
0.5253,221.0577,217.6230,225.7019
0.5354,223.4921,222.5702,226.8488
0.5455,225.5197,227.5657,227.9963
0.5556,227.1632,231.7779,228.8919
0.5657,228.4685,234.8053,229.4578
0.5758,229.4890,236.8767,229.8244
0.5859,230.2790,238.3864,230.1153
0.5960,230.8889,239.5144,230.3297
0.6061,231.3603,240.2982,230.4309
0.6162,231.7260,240.8129,230.4384
0.6263,232.0138,241.1796,230.4046
0.6364,232.2477,241.4911,230.3648
0.6465,232.4469,241.7841,230.3334
0.6566,232.6237,242.0602,230.3208
0.6667,232.7863,242.3099,230.3349
0.6768,232.9414,242.5271,230.3772
0.6869,233.0961,242.7166,230.4440
0.6970,233.2569,242.8897,230.5285
0.7071,233.4283,243.0490,230.6168
0.7172,233.6137,243.1840,230.6916
0.7273,233.8174,243.2821,230.7464
0.7374,234.0439,243.3383,230.7906
0.7475,234.2911,243.3529,230.8357
0.7576,234.5476,243.3374,230.8813
0.7677,234.7955,243.3311,230.9144
0.7778,235.0156,243.3994,230.9168
0.7879,235.1910,243.6003,230.8742
0.7980,235.3102,243.9559,230.7814
0.8081,235.3720,244.4526,230.6445
0.8182,235.3889,245.0538,230.4788
0.8283,235.3845,245.7033,230.3036
0.8384,235.3873,246.3264,230.1432
0.8485,235.4219,246.8390,230.0331
0.8586,235.5023,247.1691,230.0183
0.8687,235.6303,247.2803,230.1371
0.8788,235.8004,247.1819,230.4029
0.8889,236.0099,246.9167,230.8007
0.8990,236.2602,246.5391,231.2952
0.9091,236.5475,246.1026,231.8441
0.9192,236.8526,245.6596,232.4015
0.9293,237.1438,245.2687,232.9133
0.9394,237.3904,244.9901,233.3226
0.9495,237.5796,244.8605,233.5945
0.9596,237.7218,244.8730,233.7319
0.9697,237.8380,244.9800,233.7589
0.9798,237.9403,245.1115,233.6978
0.9899,238.0291,245.2078,233.5683
1.0000,238.1058,245.2600,233.3988
