phase,time_in_cycle,pressure_mmhg,epi,trans,endo,pred_twist_deg,pred_height_mm,pred_volume_mL
0.0,0.0,3.0,247.99953648908624,247.99961569260057,236.77259348955613,0.01901667451940625,69.22328324164798,119.44895126836366
0.010101,0.010101,0.726662,248.0,247.95349968631734,236.76900064622242,0.11612790504362636,69.02036198901155,118.02893622287624
0.020202,0.020202,3.443698,247.9444526988327,247.31723772528102,236.78412845541604,-0.10408527090206832,69.28838443536053,118.85488341788701
0.030303,0.030303,9.094142,247.5193838785826,245.95993803689123,236.7576511115949,-0.223525096144499,69.62752455363496,119.86642616817545
0.040404,0.040404,15.621028,246.79675734508623,244.2394128231949,236.5930654512869,-0.24838386853855354,69.80082517013591,120.05066066531842
0.050505,0.050505,21.514945,245.87267401460775,242.6195380944569,236.2557075861016,-0.1470858280348608,69.69022732243346,119.36832800980517
0.060606,0.060606,27.742065,244.84963248716724,241.31404706090342,235.79169163191648,0.00429628943140159,69.44955911704164,118.69723225574847
0.070707,0.070707,35.531309,243.7866891128217,240.27080204125556,235.26915389397726,0.13348774326679802,69.23887494356103,118.42061661889588
0.080808,0.080808,44.012876,242.7148194301248,239.36356071931712,234.7323188732252,0.2619591027039405,69.03322080693506,118.12221594561768
0.090909,0.090909,51.908213,241.66225054290027,238.51950558539033,234.20061528179264,0.4169000444107027,68.7742811604005,117.53326538613467
0.10101,0.10101,59.070098,240.65206377164807,237.71610954313408,233.6828190037905,0.5789830499174968,68.47650535759699,116.76619138580159
0.111111,0.111111,65.662215,239.69121684030347,236.93936224462502,233.18345025721786,0.7331970160805668,68.16156946798652,115.9450168007597
0.121212,0.121212,71.576701,238.77312673457823,236.17009424223593,232.70306068940926,0.887757933926224,67.8252669246343,115.07098479021886
0.131313,0.131313,76.652886,237.88902793342578,235.39248635042014,232.2395102114657,1.053034350122104,67.45890312984855,114.0983573685231
0.141414,0.141414,80.95708,237.03560161368736,234.60120304315953,231.7912789022068,1.2261737584079668,67.06858941919474,113.0278014807592
0.151515,0.151515,84.617408,236.2154288517797,233.80091565065368,231.3595377340095,1.400355406582463,66.66613676425746,111.8880036838459
0.161616,0.161616,87.640144,235.43312605854908,233.00145518497231,230.94715070358293,1.5745786054660655,66.25813720958146,110.68291005094589
0.171717,0.171717,90.005847,234.69104689673264,232.2112216973504,230.55642864180987,1.7505595987477136,65.8483225607422,109.40175773540315
0.181818,0.181818,91.831518,233.98812151685684,231.43231730852074,230.1885116675186,1.9260600674158823,65.44378489209912,108.06396647151271
0.191919,0.191919,93.269553,233.32247974531506,230.66044087233044,229.84481976666615,2.0975696267675517,65.05185736725562,106.69799408600743
0.20202,0.20202,94.333929,232.69401753271518,229.8876388479258,229.528315285061,2.265786470276126,64.67481743957862,105.29195787720121
0.212121,0.212121,94.999532,232.10328848030056,229.10436968227447,229.24268201653447,2.432557648088917,64.31376069804354,103.82350650881689
0.222222,0.222222,95.392482,231.54844521268222,228.30177798424833,228.9902071225866,2.5958107319289,63.97399633169274,102.32072394197547
0.232323,0.232323,95.691294,231.0245239244699,227.47593702293022,228.7705820952589,2.7537821869185137,63.660100346185864,100.83315969216137
