phase,time_in_cycle,pressure_mmhg,epi,trans,endo,pred_twist_deg,pred_height_mm,pred_volume_mL
0.0,0.0,12.0,247.60957538827194,244.8295318590453,236.76684785691683,-0.7893786854041522,69.99957078111653,120.01421188233198
0.010101,0.010101,13.194179,247.58288244134494,244.88457147743821,236.39400694048447,-1.2404128785764286,69.8851225971373,120.4994252749895
0.020202,0.020202,12.537898,247.3826095118152,245.11650555849985,236.0185308961793,-1.3161594904055605,69.50967718949003,120.16289114477141
0.030303,0.030303,12.073105,246.8384700314761,245.4083605824519,235.59120336145537,-0.9857371348249515,68.93219531125001,119.62551964881541
0.040404,0.040404,13.841749,245.83303279129336,245.40294095683288,235.03017898483222,-0.3982907459261824,68.2477049933764,119.26669500986185
0.050505,0.050505,19.456531,244.37026855469816,244.8315542581523,234.28373534229638,0.21950062689820982,67.58844534661014,119.2697189604637
0.060606,0.060606,28.58946,242.58056940146554,243.74556277861666,233.3759121190767,0.7556119575862752,66.98901413274368,119.12260775713398
0.070707,0.070707,40.313256,240.6365360731178,242.42945786054116,232.3931898217322,1.2134623791533201,66.46256325669387,118.54069602905017
0.080808,0.080808,53.454956,238.65616060486872,241.11873865877183,231.43376309585508,1.6701409835522796,65.99230152676677,117.5944809207858
0.090909,0.090909,66.834066,236.68263346557933,239.8080250764339,230.5694966448975,2.191104652023988,65.53915516486562,116.44437206642755
0.10101,0.10101,79.608696,234.73669261821777,238.31162569805622,229.84319992992295,2.7740267592520595,65.07864654355089,115.15898528007082
0.111111,0.111111,90.941824,232.86190966401864,236.4866638457755,229.2813829929859,3.3894467216800237,64.59617068777956,113.69181340892126
0.121212,0.121212,99.435191,231.11057266385114,234.3867634885979,228.89303563451742,4.053634031003568,64.06339420220402,111.73459546798142
0.131313,0.131313,103.958228,229.49677935901568,232.21467748388665,228.65377696050052,4.8159192511420486,63.46363590429736,108.82487878020646
0.141414,0.141414,106.032255,227.97712185662027,230.16549390034828,228.50138078496698,5.651994299986335,62.851323268409004,105.48658448504857
0.151515,0.151515,107.838254,226.47990547384228,228.33439075939611,228.35744427621879,6.501858992795661,62.26100371357539,102.56732075214755
0.161616,0.161616,109.749091,224.94822749431117,226.73400704980642,228.15942517756324,7.344975488268503,61.65993517456351,100.1206322401772
0.171717,0.171717,111.48995,223.35741955982886,225.337271445185,227.8789671226254,8.172642220237996,61.02071800565486,97.9212755379746
0.181818,0.181818,113.059766,221.7071367810318,224.09061272128076,227.51943959674324,8.969229810215658,60.347994865157204,95.87698646215307
0.191919,0.191919,114.553319,220.01118212550944,222.92490448992598,227.1013742826487,9.719874819255821,59.659665044628916,93.9584758660454
0.20202,0.20202,115.958469,218.2918672235985,221.7871159334463,226.64693641066836,10.41465066805619,58.972517206667845,92.12364638574812
0.212121,0.212121,117.219283,216.5695632705019,220.66482565377052,226.1703638126882,11.049016859510175,58.2981296285079,90.34899385224811
0.222222,0.222222,118.295463,214.8483452326579,219.57541368203513,225.67665119886738,11.627004464033924,57.64059008453364,88.62976351481035
0.232323,0.232323,119.160746,213.111566764253,218.53437075813437,225.16640114628242,12.160752504854052,56.997654675015085,86.94904321513954
0.242424,0.242424,119.843913,211.33179949166157,217.53785518129146,224.6414303596938,12.662964470094664,56.3668701363296,85.2987843771384
0.252525,0.252525,120.398265,209.482382793935,216.5695976827599,224.10675315723287,13.142457410305731,55.74886568906566,83.68331293261812
0.262626,0.262626,120.861253,207.54354317063627,215.60018660496075,223.57184508323482,13.603481803434569,55.147992185433054,82.1031414044379
0.272727,0.272727,121.260979,205.52409361123304,214.5397598384993,223.06055644559092,14.042621742640854,54.57699084296133,80.54096854805223
0.282828,0.282828,121.614369,203.52048697194095,213.17253948059437,222.62909010623517,14.446303707474193,54.065642627744715,78.95987021027457
0.292929,0.292929,121.91857,201.76412768966696,211.20581751335038,222.36292368396056,14.799783652955497,53.65805362704677,77.3747769967164
0.30303,0.30303,122.034988,200.54283928363316,208.5337908475725,222.31989759726827,15.096307520865736,53.385087037713596,75.91281497599277
0.313131,0.313131,121.76316,200.0,205.52069829776707,222.4551895250913,15.311525295613244,53.23977814209487,74.77964655691005
0.323232,0.323232,121.061433,200.0,202.91180338646285,222.62363393921046,15.397075433775804,53.17865496401046,74.02393652062688
0.333333,0.333333,119.982738,200.0,202.0,222.66685133974158,15.434163598314562,53.14631824616641,73.3702738982442
0.343434,0.343434,118.567861,200.0,202.0,222.4692065624537,15.298062998624374,53.05505353407491,72.50413024931272
0.353535,0.353535,116.836376,200.0,202.79719063645962,221.95035734541068,14.92161520570631,52.86337146891803,71.41409127948147
0.363636,0.363636,114.652517,200.0,205.49999771759508,221.11041240001805,14.36490133733681,52.61255117451169,70.44773340729435
0.373737,0.373737,111.774845,201.0893998175561,208.73214989210052,220.12977275651872,13.393001732139986,52.41351329716159,70.01816993971354
0.383838,0.383838,107.935787,203.18642142100686,211.67175996741244,219.34285180952702,12.241331384580327,52.37251408845734,70.09352873063858
0.393939,0.393939,102.703363,205.83373438495138,213.89416516387774,219.04839256360896,11.15999549663833,52.55531128290039,70.36876165470474
0.40404,0.40404,93.544794,208.55776201547167,215.4209057799034,219.35529525143275,10.370978001539157,52.872090350853156,70.19764375153395
0.414141,0.414141,76.767358,211.19922818309152,216.4123975074073,220.1805381133839,9.975288049117708,53.09695175890421,69.72750712245005
0.424242,0.424242,54.910161,213.8101576114512,217.03949873453413,221.32052994980555,9.836998311610323,53.165354334484334,70.10122926367316
0.434343,0.434343,35.239589,216.3400230942818,217.5164398576329,222.52558395763467,9.709692563003223,53.27225830389668,70.48672927036759
0.444444,0.444444,21.743159,218.55875858354887,217.9968647443634,223.58551972722177,9.49178299391857,53.544630326714895,70.25333636181003
0.454545,0.454545,15.422292,220.26067503517908,218.44423233130917,224.41022544688013,9.21675040009844,54.00835485649995,70.28230130213849
0.464646,0.464646,14.34912,221.46636755152798,218.72512588629854,225.04607418369426,8.955580412650768,54.59646355725458,70.98107215542558
0.474747,0.474747,14.241259,222.40241614932486,218.80540369785336,225.60796274676278,8.765002632015829,55.15415797328204,71.6205285073957
