elapsed_s,pressure_mmhg
-20.9644455,83.42583340470789
-20.9625832,83.47942682044284
-20.960593199999998,83.53282671923115
-20.958598,83.58601901777602
-20.9566023,83.63898974837846
-20.9548576,83.69172506723172
-20.9528617,83.7442112625853
-20.9508699,83.79643476277154
-20.9488322,83.84838214408845
-20.9468627,83.90004013853316
-20.9448626,83.95139564138073
-20.9428413,84.00243571860307
-20.9408577,84.05314761412286
-20.9388448,84.10351875689722
-20.9368466,84.15353676782615
-20.9348591,84.20318946648118
-20.9328616,84.2524648776499
-20.9308557,84.30135123769269
-20.9288505,84.34983700070795
-20.9268645,84.39791084450323
-20.9248403,84.44556167636885
-20.9228578,84.49277863865136
-20.9208262,84.53955111412381
-20.9188592,84.58586873115036
-20.9168607,84.63172136864242
-20.9148656,84.67709916080396
-20.9128325,84.72199250166386
-20.910788,84.76639204939332
-20.9087833,84.81028873040682
-20.9067883,84.85367374324561
-20.904783,84.89653856224231
-20.902783799999998,84.9388749409664
-20.900753299999998,84.98067491544954
-20.8987745,85.02193080719054
-20.8967801,85.06263522593947
-20.8947987,85.10278107226092
-20.8927946,85.14236153987672
-20.8907836,85.18137011778825
-20.8887812,85.21980059217934
-20.8867697,85.2576470481002
-20.8848105,85.29490387093392
-20.8828001,85.33156574764736
-20.8807812,85.36762766782795
-20.8784791,85.40308492450866
-20.8761926,85.43793311478296
-20.8746736,85.47216814021161
-20.8725602,85.50578620702326
-20.870555799999998,85.53878382611106
-20.868505,85.5711578128273
-20.8666858,85.60290528657872
-20.864675,85.63402367022505
-20.8626636,85.66451068928338
-20.860660199999998,85.69436437094139
-20.8588844,85.72358304288268
-20.8568887,85.7521653319278
-20.8548875,85.78011016249476
-20.852887,85.8074167548832
-20.8508721,85.83408462338608
-20.8488666,85.86011357423298
-20.8468927,85.88550370336912
-20.8448749,85.91025539407384
-20.8428822,85.9343693144228
-20.840885,85.95784641459764
-20.8388773,85.98068792404636
-20.836861,86.00289534849726
-20.8348415,86.0244704668288
-20.8328869,86.04541532779747
-20.8308842,86.06573224662546
-20.8288947,86.08542380145053
-20.826885,86.10449282964018
-20.8248628,86.1229424239725
-20.8228267,86.14077592868624
-20.8208885,86.15799693540245
-20.818875,86.17460927892068
-20.8168773,86.19061703289248
-20.814883899999998,86.20602450537507
-20.8128776,86.22083623426862
-20.8108759,86.23505698264051
-20.8088605,86.2486917339406
-20.8068518,86.26174568711161
-20.8048657,86.27422425159916
-20.8028796,86.28613304226549
-20.8008842,86.29747787421145
-20.7988867,86.30826475751095
-20.7968909,86.31849989186233
-20.7948875,86.32818966116065
-20.7929066,86.33734062799525
-20.7908943,86.34595952807646
-20.7888959,86.35405326459598
-20.786899,86.36162890252484
-20.784902,86.36869366285359
-20.7828699,86.37525491677833
-20.7809007,86.38132017983688
-20.77889,86.38689710599876
-20.7768981,86.39199348171284
-20.7749044,86.39661721991648
-20.7728955,86.40077635400972
-20.7707217,86.40447903179876
-20.768699,86.40773350941227
-20.76671,86.41054814519453
-20.7647339,86.4129313935793
-20.7627199,86.41489179894816
-20.7607128,86.41643798947716
-20.7587252,86.41757867097562
-20.7567042,86.41832262072091
-20.7547242,86.41867868129346
-20.7527137,86.41865575441544
-20.7507157,86.41826279479682
