phase,epi,trans,endo
0.0000,241.2082,248.0000,233.7918
0.0204,241.0940,248.0000,233.4119
0.0408,240.8410,248.0000,232.9673
0.0612,240.3523,248.0000,232.3599
0.0816,239.5479,248.0000,231.4659
0.1020,238.3031,248.0000,230.1929
0.1224,236.4802,247.9187,228.5520
0.1429,234.0547,245.8954,226.6669
0.1633,231.2007,243.1079,224.6996
0.1837,228.2131,239.8506,222.7625
0.2041,225.2998,236.6042,220.8955
0.2245,222.3995,233.7823,219.1221
0.2449,219.1887,231.5089,217.5227
0.2653,215.3355,229.5821,216.2329
0.2857,210.8738,227.6474,215.3446
0.3061,206.4161,225.4476,214.7999
0.3265,202.9796,222.9763,214.3988
0.3469,201.4844,220.4725,213.9436
0.3673,202.2537,218.3078,213.4174
0.3878,204.8663,216.8484,213.0462
0.4082,208.4572,216.3599,213.1935
0.4286,212.2134,216.9922,214.1664
0.4490,215.6893,218.7956,216.0537
0.4694,218.7991,221.6884,218.6674
0.4898,221.6236,225.4045,221.6038
0.5102,224.2343,229.5367,224.3918
0.5306,226.6249,233.6755,226.6505
0.5510,228.7295,237.5135,228.1865
0.5714,230.4737,240.8446,229.0151
0.5918,231.8204,243.5200,229.3125
0.6122,232.7884,245.4478,229.3185
0.6327,233.4437,246.6412,229.2397
0.6531,233.8829,247.2486,229.1994
0.6735,234.2119,247.5079,229.2421
0.6939,234.5193,247.6437,229.3657
0.7143,234.8502,247.7831,229.5466
0.7347,235.2007,247.9531,229.7458
0.7551,235.5359,248.0000,229.9071
0.7755,235.8164,248.0000,229.9675
0.7959,236.0220,248.0000,229.8835
0.8163,236.1692,248.0000,229.6652
0.8367,236.3225,248.0000,229.4083
0.8571,236.5817,248.0000,229.2982
0.8776,237.0343,248.0000,229.5449
0.8980,237.7001,248.0000,230.2548
0.9184,238.5138,248.0000,231.3188
0.9388,239.3596,248.0000,232.4287
0.9592,240.1301,248.0000,233.2484
0.9796,240.7743,248.0000,233.6259
1.0000,241.3236,248.0000,233.6859
