phase,epi,trans,endo
0.0000,235.8251,244.6927,234.1670
0.0204,234.5575,239.0939,233.0865
0.0408,232.8914,234.0641,231.8410
0.0612,230.8349,230.4492,230.3639
0.0816,228.7217,228.8626,228.7100
0.1020,226.8182,228.7622,227.0488
0.1224,225.1012,228.2518,225.6286
0.1429,223.3794,225.1606,224.6442
0.1633,221.5327,218.7213,224.0780
0.1837,219.5649,210.5140,223.6771
0.2041,217.3941,203.7723,223.0845
0.2245,214.6486,202.0000,222.0330
0.2449,210.8399,203.7136,220.5086
0.2653,205.9294,208.9178,218.7806
0.2857,200.7194,214.0198,217.2375
0.3061,200.0000,217.0846,216.1361
0.3265,200.0000,217.9836,215.4778
0.3469,200.0000,217.9122,215.1299
0.3673,200.0000,218.3256,215.0819
0.3878,200.0000,220.0651,215.5619
0.4082,202.0538,223.0386,216.8564
0.4286,206.8911,226.4441,219.0020
0.4490,211.5302,229.3338,221.6487
0.4694,215.4306,231.1776,224.2153
0.4898,218.5366,232.0679,226.2218
0.5102,221.0240,232.5062,227.5449
0.5306,223.0165,233.0543,228.3865
0.5510,224.5365,234.0747,229.0190
0.5714,225.6029,235.5704,229.5837
0.5918,226.3154,237.2025,230.0885
0.6122,226.8470,238.5707,230.5026
0.6327,227.3676,239.5090,230.8109
0.6531,227.9673,240.0959,231.0132
0.6735,228.6251,240.4916,231.1114
0.6939,229.2440,240.8544,231.1072
0.7143,229.7361,241.3136,231.0159
0.7347,230.0964,241.9221,230.8775
0.7551,230.3963,242.6470,230.7417
0.7755,230.7045,243.4185,230.6275
0.7959,231.0161,244.1748,230.4859
0.8163,231.2647,244.8598,230.2158
0.8367,231.3999,245.3765,229.7714
0.8571,231.4533,245.5584,229.3024
0.8776,231.5417,245.2627,229.1687
0.8980,231.8115,244.5526,229.7223
0.9184,232.3560,243.7597,230.9847
0.9388,233.1556,243.2905,232.5281
0.9592,234.0894,243.3492,233.7343
0.9796,235.0247,243.8563,234.2400
1.0000,235.9150,244.5916,234.1979
