phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,235.0555,244.8975,233.8327,12.7994,12.7994,18.0000
0.0101,234.9449,244.8256,233.6275,13.0603,13.0603,35.5668
0.0202,234.8245,244.7935,233.3855,13.3213,13.3213,53.1335
0.0303,234.6801,244.8215,233.0784,15.8428,15.8428,67.1484
0.0404,234.4896,244.8957,232.6883,18.4115,18.4115,81.0893
0.0505,234.2243,244.9655,232.2046,24.6480,24.6480,86.6827
0.0606,233.8538,244.9538,231.6212,31.0406,31.0406,91.9209
0.0707,233.3522,244.7770,230.9370,40.7944,40.7944,96.3751
0.0808,232.7029,244.3676,230.1604,50.7675,50.7675,100.7782
0.0909,231.9026,243.6916,229.3127,62.5983,62.5983,104.4162
0.1010,230.9602,242.7555,228.4251,74.5942,74.5942,107.9861
0.1111,229.8954,241.6007,227.5317,82.2914,82.2914,110.8104
0.1212,228.7343,240.2904,226.6595,89.5002,89.5002,113.5499
0.1313,227.5052,238.8943,225.8226,93.3442,93.3442,115.5629
0.1414,226.2351,237.4775,225.0221,96.7187,96.7187,117.4744
0.1515,224.9464,236.0972,224.2501,99.9179,99.9179,118.6784
0.1616,223.6554,234.8034,223.4968,103.0880,103.0880,119.7645
0.1717,222.3721,233.6386,222.7554,106.0347,106.0347,120.1689
0.1818,221.0999,232.6327,222.0225,108.9377,108.9377,120.4404
0.1919,219.8362,231.7945,221.2950,111.3973,111.3973,120.3339
0.2020,218.5717,231.1075,220.5679,113.7572,113.7572,120.1422
0.2121,217.2898,230.5376,219.8354,115.0551,115.0551,119.7540
0.2222,215.9671,230.0478,219.0967,116.0807,116.0807,119.3154
0.2323,214.5754,229.6114,218.3595,117.6759,117.6759,118.7199
0.2424,213.0879,229.2148,217.6391,119.4359,119.4359,118.0790
0.2525,211.4886,228.8492,216.9534,121.4535,121.4535,117.3189
0.2626,209.7830,228.4977,216.3169,123.5547,123.5547,116.5203
0.2727,208.0059,228.1248,215.7400,126.1822,126.1822,115.6086
0.2828,206.2229,227.6771,215.2305,128.9998,128.9998,114.6560
0.2929,204.5231,227.0929,214.7947,130.2649,130.2649,113.1520
0.3030,203.0030,226.3213,214.4363,130.9089,130.9089,111.4274
0.3131,201.7474,225.3442,214.1527,129.9792,129.9792,109.1723
0.3232,200.8137,224.1949,213.9325,128.3552,128.3552,106.6832
0.3333,200.2261,222.9649,213.7571,125.4800,125.4800,103.8488
0.3434,200.0000,221.7933,213.6060,121.9981,121.9981,100.8471
0.3535,200.0696,220.8380,213.4660,114.9856,114.9856,97.1621
0.3636,200.4774,220.2352,213.3387,106.0970,106.0970,93.1141
0.3737,201.2041,220.0623,213.2445,94.7245,94.7245,88.0369
0.3838,202.2461,220.3179,213.2204,81.9094,81.9094,82.3620
0.3939,203.5808,220.9266,213.3116,69.7459,69.7459,74.1665
0.4040,205.1514,221.7679,213.5602,57.9951,57.9951,64.3744
0.4141,206.8652,222.7150,213.9934,48.5022,48.5022,52.7232
0.4242,208.6075,223.6683,214.6159,40.5666,40.5666,39.7895
0.4343,210.2648,224.5718,215.4075,33.9389,33.9389,27.3891
0.4444,211.7484,225.4102,216.3266,28.2922,28.2922,15.3886
0.4545,213.0096,226.1940,217.3189,23.7567,23.7567,10.0113
0.4646,214.0434,226.9419,218.3284,20.1266,20.1266,10.0317
0.4747,214.8818,227.6685,219.3081,17.2620,17.2620,10.0715
0.4848,215.5793,228.3792,220.2257,15.0746,15.0746,10.1287
0.4949,216.1970,229.0707,221.0657,13.1464,13.1464,10.2014
0.5051,216.7883,229.7353,221.8272,11.4669,11.4669,10.2890
0.5152,217.3897,230.3658,222.5203,10.1862,10.1862,10.3884
0.5253,218.0182,230.9599,223.1614,9.3207,9.3207,10.5003
0.5354,218.6728,231.5211,223.7669,8.7748,8.7748,10.6206
0.5455,219.3411,232.0563,224.3462,8.5904,8.5904,10.7504
0.5556,220.0056,232.5718,224.8985,8.4997,8.4997,10.8854
0.5657,220.6501,233.0704,225.4148,8.5239,8.5239,11.0270
0.5758,221.2639,233.5513,225.8841,8.4910,8.4910,11.1709
0.5859,221.8427,234.0121,226.3005,8.3817,8.3817,11.3179
0.5960,222.3883,234.4518,226.6676,8.3320,8.3320,11.4646
0.6061,222.9058,234.8726,226.9981,8.3686,8.3686,11.6108
