phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,236.8725,243.2833,234.7639,21.2435,21.2435,18.0000
0.0101,236.9005,243.5903,234.4157,21.9560,21.9560,35.5668
0.0202,236.8712,243.8903,234.0357,22.6685,22.6685,53.1335
0.0303,236.7310,244.1604,233.5938,31.2009,31.2009,67.1484
0.0404,236.4327,244.3532,233.0654,39.8962,39.8962,81.0893
0.0505,235.9429,244.4031,232.4364,51.8302,51.8302,86.6827
0.0606,235.2471,244.2424,231.7057,63.9022,63.9022,91.9209
0.0707,234.3521,243.8182,230.8836,75.5451,75.5451,96.3751
0.0808,233.2840,243.1060,229.9890,87.1601,87.1601,100.7782
0.0909,232.0817,242.1148,229.0498,93.0981,93.0981,104.4162
0.1010,230.7891,240.8863,228.1015,98.5314,98.5314,107.9861
0.1111,229.4471,239.4852,227.1813,102.3764,102.3764,110.8104
0.1212,228.0886,237.9884,226.3179,106.0410,106.0410,113.5499
0.1313,226.7355,236.4755,225.5246,109.2273,109.2273,115.5629
0.1414,225.3978,235.0222,224.7972,112.3469,112.3469,117.4744
0.1515,224.0757,233.6939,224.1174,114.8887,114.8887,118.6784
0.1616,222.7619,232.5380,223.4580,117.3340,117.3340,119.7645
0.1717,221.4451,231.5746,222.7886,118.8895,118.8895,120.1689
0.1818,220.1124,230.7942,222.0823,120.2713,120.2713,120.4404
0.1919,218.7498,230.1667,221.3245,121.2953,121.2953,120.3339
0.2020,217.3410,229.6582,220.5204,122.2388,122.2388,120.1422
0.2121,215.8653,229.2456,219.6951,123.2780,123.2780,119.7540
0.2222,214.2984,228.9212,218.8832,124.3418,124.3418,119.3154
0.2323,212.6189,228.6835,218.1131,127.1603,127.1603,118.7199
0.2424,210.8195,228.5199,217.3979,130.4869,130.4869,118.0790
0.2525,208.9229,228.3898,216.7406,134.2897,134.2897,117.3189
0.2626,206.9919,228.2139,216.1477,138.2471,138.2471,116.5203
0.2727,205.1277,227.8798,215.6359,139.5389,139.5389,115.6086
0.2828,203.4504,227.2662,215.2289,139.8681,139.8681,114.6560
0.2929,202.0648,226.2848,214.9450,138.0989,138.0989,113.1520
