phase,epi,trans,endo
0.0000,238.7493,245.7658,234.9771
0.0101,238.9001,245.9376,234.6599
0.0202,238.9083,245.7584,234.2080
0.0303,238.6510,245.0670,233.5395
0.0404,238.0488,243.9480,232.6565
0.0505,237.0927,242.6294,231.6361
0.0606,235.8534,241.3195,230.5836
0.0707,234.4569,240.1149,229.5752
0.0808,233.0369,239.0109,228.6424
0.0909,231.6877,237.9602,227.8030
0.1010,230.4418,236.9013,227.0839
0.1111,229.2747,235.7464,226.4960
0.1212,228.1321,234.3916,226.0083
0.1313,226.9594,232.7870,225.5717
0.1414,225.7230,231.0026,225.1611
0.1515,224.4144,229.2043,224.7802
0.1616,223.0404,227.5483,224.4347
0.1717,221.6065,226.0777,224.1208
0.1818,220.1032,224.6942,223.8356
0.1919,218.5023,223.2219,223.5852
0.2020,216.7665,221.5217,223.3708
0.2121,214.8671,219.5910,223.1681
0.2222,212.7992,217.5947,222.9193
0.2323,210.5901,215.8053,222.5538
0.2424,208.3007,214.4829,222.0306
0.2525,206.0277,213.7535,221.3733
0.2626,203.9050,213.5481,220.6685
0.2727,202.0882,213.6242,220.0241
0.2828,200.7118,213.6410,219.5219
0.2929,200.0000,213.2539,219.2007
0.3030,200.0000,212.2242,219.0634
0.3131,200.0000,210.5250,219.0815
0.3232,200.0000,208.3663,219.1932
0.3333,200.0000,206.0898,219.3142
0.3434,200.3536,204.0081,219.3660
0.3535,200.9272,202.3192,219.3059
0.3636,201.5809,202.0000,219.1482
0.3737,202.3542,202.0000,218.9673
0.3838,203.3271,202.0000,218.8772
0.3939,204.5823,202.0000,218.9844
0.4040,206.1584,203.5206,219.3338
0.4141,208.0189,206.0552,219.8830
0.4242,210.0577,208.9294,220.5329
0.4343,212.1363,211.7754,221.1995
0.4444,214.1331,214.3884,221.8723
0.4545,215.9776,216.7492,222.6062
0.4646,217.6545,218.8999,223.4576
0.4747,219.1844,220.8514,224.4299
0.4848,220.5981,222.6098,225.4747
0.4949,221.9183,224.2439,226.5344
0.5051,223.1554,225.8784,227.5740
0.5152,224.3123,227.6035,228.5669
0.5253,225.3889,229.3938,229.4667
0.5354,226.3826,231.1338,230.2179
0.5455,227.2862,232.7229,230.7969
0.5556,228.0892,234.1465,231.2263
0.5657,228.7820,235.4469,231.5435
0.5758,229.3624,236.6447,231.7688
0.5859,229.8398,237.6997,231.9068
0.5960,230.2336,238.5510,231.9679
0.6061,230.5683,239.1884,231.9789
0.6162,230.8659,239.6745,231.9763
0.6263,231.1399,240.0964,231.9915
0.6364,231.3943,240.5043,232.0409
0.6465,231.6267,240.8933,232.1252
0.6566,231.8334,241.2296,232.2361
0.6667,232.0123,241.4875,232.3641
0.6768,232.1646,241.6676,232.5010
0.6869,232.2957,241.7922,232.6373
0.6970,232.4143,241.8941,232.7608
0.7071,232.5310,242.0096,232.8590
0.7172,232.6550,242.1715,232.9237
0.7273,232.7923,242.3992,232.9535
0.7374,232.9429,242.6884,232.9530
0.7475,233.1007,243.0124,232.9296
0.7576,233.2555,243.3383,232.8901
0.7677,233.3946,243.6492,232.8393
0.7778,233.5059,243.9529,232.7797
0.7879,233.5813,244.2694,232.7146
0.7980,233.6203,244.6079,232.6497
0.8081,233.6345,244.9560,232.5956
0.8182,233.6486,245.2900,232.5682
0.8283,233.6963,245.5955,232.5852
0.8384,233.8115,245.8751,232.6596
0.8485,234.0178,246.1348,232.7925
0.8586,234.3191,246.3660,232.9736
0.8687,234.6976,246.5457,233.1888
0.8788,235.1181,246.6505,233.4293
0.8889,235.5403,246.6726,233.6912
0.8990,235.9328,246.6221,233.9718
0.9091,236.2820,246.5178,234.2669
0.9192,236.5942,246.3778,234.5717
0.9293,236.8864,246.2163,234.8777
0.9394,237.1743,246.0471,235.1636
0.9495,237.4636,245.8858,235.3891
0.9596,237.7475,245.7501,235.5102
0.9697,238.0123,245.6564,235.5102
0.9798,238.2463,245.6155,235.4149
0.9899,238.4473,245.6256,235.2707
1.0000,238.6275,245.6675,235.1124
