phase,epi,trans,endo
0.0000,241.2867,248.0000,233.6266
0.0101,241.4638,248.0000,233.3814
0.0202,241.4885,248.0000,233.0895
0.0303,241.2121,247.6277,232.6599
0.0404,240.5203,246.1593,231.9877
0.0505,239.3886,244.4343,231.0484
0.0606,237.9128,242.8396,229.9473
0.0707,236.2785,241.6222,228.8549
0.0808,234.6807,240.7780,227.8976
0.0909,233.2459,240.1223,227.1108
0.1010,231.9972,239.4318,226.4663
0.1111,230.8731,238.5239,225.9198
0.1212,229.7773,237.2824,225.4395
0.1313,228.6270,235.6888,225.0130
0.1414,227.3775,233.8331,224.6371
0.1515,226.0230,231.8682,224.3010
0.1616,224.5823,229.9529,223.9817
0.1717,223.0825,228.2203,223.6593
0.1818,221.5443,226.7162,223.3329
0.1919,219.9675,225.3030,223.0179
0.2020,218.3254,223.6903,222.7280
0.2121,216.5763,221.6734,222.4612
0.2222,214.6890,219.3650,222.1921
0.2323,212.6680,217.1635,221.8669
0.2424,210.5607,215.5156,221.4124
0.2525,208.4375,214.7109,220.7708
0.2626,206.3649,214.7940,219.9501
0.2727,204.3979,215.5486,219.0497
0.2828,202.5992,216.5573,218.2291
0.2929,201.0670,217.3649,217.6306
0.3030,200.0000,217.6500,217.3157
0.3131,200.0000,217.2805,217.2660
0.3232,200.0000,216.2629,217.4221
0.3333,200.0000,214.6986,217.7046
0.3434,200.0555,212.7825,218.0094
0.3535,200.6173,210.7914,218.2184
0.3636,201.0692,209.0298,218.2431
0.3737,201.4377,207.7593,218.0785
0.3838,201.9040,207.1448,217.8223
0.3939,202.7191,207.2330,217.6348
0.4040,204.0747,207.9730,217.6637
0.4141,206.0071,209.2722,217.9793
0.4242,208.3818,211.0520,218.5579
0.4343,210.9561,213.2527,219.3148
0.4444,213.4795,215.7821,220.1625
0.4545,215.7791,218.4594,221.0541
0.4646,217.7961,221.0192,221.9899
0.4747,219.5635,223.2011,222.9877
0.4848,221.1512,224.8764,224.0442
0.4949,222.6176,226.1208,225.1203
0.5051,223.9913,227.1807,226.1620
0.5152,225.2791,228.3476,227.1335
0.5253,226.4810,229.8078,228.0314
0.5354,227.5989,231.5487,228.8625
0.5455,228.6329,233.3784,229.6131
0.5556,229.5757,235.0537,230.2460
0.5657,230.4123,236.4351,230.7270
0.5758,231.1279,237.5545,231.0490
0.5859,231.7186,238.5470,231.2307
0.5960,232.1976,239.5124,231.3039
0.6061,232.5915,240.4262,231.3057
0.6162,232.9308,241.1826,231.2736
0.6263,233.2403,241.7202,231.2390
0.6364,233.5331,242.0969,231.2216
0.6465,233.8119,242.4429,231.2288
0.6566,234.0741,242.8486,231.2590
0.6667,234.3161,243.2989,231.3070
0.6768,234.5353,243.7054,231.3680
0.6869,234.7297,243.9951,231.4397
0.6970,234.8984,244.1638,231.5201
0.7071,235.0434,244.2589,231.6049
0.7172,235.1713,244.3355,231.6864
0.7273,235.2928,244.4327,231.7556
0.7374,235.4196,244.5710,231.8061
0.7475,235.5609,244.7513,231.8353
0.7576,235.7196,244.9578,231.8457
0.7677,235.8905,245.1671,231.8438
0.7778,236.0614,245.3618,231.8374
0.7879,236.2168,245.5420,231.8306
0.7980,236.3432,245.7355,231.8194
0.8081,236.4325,245.9980,231.7943
0.8182,236.4862,246.3840,231.7495
0.8283,236.5186,246.8965,231.6955
0.8384,236.5585,247.4610,231.6646
0.8485,236.6446,247.9536,231.6992
0.8586,236.8147,248.0000,231.8300
0.8687,237.0891,248.0000,232.0554
0.8788,237.4584,248.0000,232.3428
0.8889,237.8830,248.0000,232.6487
0.8990,238.3093,247.8994,232.9395
0.9091,238.6943,247.8204,233.1998
0.9192,239.0242,247.8270,233.4351
0.9293,239.3163,247.8790,233.6722
0.9394,239.6009,247.9341,233.9383
0.9495,239.8983,247.9745,234.2239
0.9596,240.2053,248.0000,234.4653
0.9697,240.5013,248.0000,234.5761
0.9798,240.7649,248.0000,234.5005
0.9899,240.9893,248.0000,234.2461
1.0000,241.1877,248.0000,233.8841
