Time_s,abs_time_s,Green_spike,Midpoint_spike,Pink_spike,Purple_spike,Tag0_spike,Tag1_spike,Tag2_spike,Tag1_X,Tag1_Y,Tag1_Z,Tag1_dX,Tag1_dY,Tag1_dZ,Tag1_disp,Tag2_X,Tag2_Y,Tag2_Z,Tag2_dX,Tag2_dY,Tag2_dZ,Tag2_disp,Midpoint_X,Midpoint_Y,Midpoint_Z,Midpoint_dX,Midpoint_dY,Midpoint_dZ,Midpoint_disp,Purple_X,Purple_Y,Purple_Z,Purple_dX,Purple_dY,Purple_dZ,Purple_disp,Pink_X,Pink_Y,Pink_Z,Pink_dX,Pink_dY,Pink_dZ,Pink_disp,Green_X,Green_Y,Green_Z,Green_dX,Green_dY,Green_dZ,Green_disp,Pink_centered_X,Pink_centered_Y,Pink_centered_Z,Green_centered_X,Green_centered_Y,Green_centered_Z,Purple_centered_X,Purple_centered_Y,Purple_centered_Z,Tag1_centered_X,Tag1_centered_Y,Tag1_centered_Z,Tag2_centered_X,Tag2_centered_Y,Tag2_centered_Z,height_mm,twist_deg,rBase_mm,c_epi_mm,c_endo_mm,volume_mm3,volume_mL,dist_Pink_Green,dist_Pink_Midpoint,dist_Green_Midpoint,dist_Tag1_Tag2
9.99999,15.58299,False,False,False,False,False,False,False,0.311197823960322,-0.3912889112747413,-0.24029534070542452,0.0,0.0,0.0,0.0,0.11474820220292263,-0.3652193432160518,-0.24238045537305153,0.0,0.0,0.0,0.0,0.21297301501559396,-0.37825412822161864,-0.2413373963322622,0.0,0.0,0.0,0.0,0.1899086437114035,-0.4057109373805718,-0.21656988347131978,0.0,0.0,0.0,0.0,0.21019115155589546,-0.413677252742381,-0.1712729484586155,0.0,0.0,0.0,0.0,0.23529649571370734,-0.4092372310983081,-0.21128535761463044,0.0,0.0,0.0,0.0,-0.002781863459698497,-0.03542312452076235,0.07006444787364671,0.02232348069811338,-0.030983102876689483,0.030052038717631763,-0.02306437130419045,-0.027456809158953155,0.02476751286094242,0.09822480894472801,-0.013034783053122667,0.001042055626837679,-0.09822481281267133,0.013034785005566818,-0.0010430590407893292,46.920139292795575,0.011763818258063705,37.023101409357494,72.65467208435962,52.15467208435962,39440.93379212788,24.481816401664233,0.04744454640894318,0.07855929843730021,0.048594397675376155,0.19818280442704672
10.09999,15.68299,False,False,False,False,False,False,False,0.3113178794119208,-0.3927616205251978,-0.24061178070330833,0.0001200554515988217,-0.0014727092504565054,-0.00031643999788380506,0.001511098977598576,0.11477993989721087,-0.3671986010862221,-0.24267988374195715,3.173769428824191e-05,-0.001979257870170281,-0.00029942836890561875,0.002002030555704685,0.2130490379681336,-0.3799801263543658,-0.2416455541187114,7.602295253963942e-05,-0.001725998132747153,-0.0003081577864491869,0.0017549388208449792,0.1899829918103609,-0.4072951136650258,-0.21671275963051523,7.434809895739969e-05,-0.0015841762844540086,-0.0001428761591954486,0.001592342845279097,0.21025594103467848,-0.4153020781543321,-0.1715842959654887,6.478947878302277e-05,-0.0016248254119511363,-0.0003113475068731997,0.0016556547242463668,0.23536070668859738,-0.4108647330790183,-0.2115967365551241,6.42109748900388e-05,-0.0016275019807101554,-0.0003113789404936562,0.001658264933927857,-0.0027930969334551137,-0.035321951799966333,0.0700612581532227,0.02231166872046378,-0.030884606724652486,0.030048817563587293,-0.02306604615777269,-0.02731498731066001,0.02493279448819616,0.0982688414437872,-0.01278149417083202,0.0010337734154030609,-0.09826909807092273,0.01278152526814369,-0.001034329623245761,46.827497340064056,-0.038087677286399155,36.926009364357554,72.57045212733095,52.07045212733095,38900.56068539606,24.130819832228898,0.04744401639611365,0.07851128303276757,0.04852423034524014,0.19820420450056983
10.19999,15.78299,False,False,False,False,False,False,False,0.3114159557412892,-0.3940246198882345,-0.24088042944208807,0.00021813178096724561,-0.002735708613493204,-0.0005850887366635471,0.0028060669845139828,0.11480787192900828,-0.36887074062421243,-0.2429347727972821,5.9669726085648245e-05,-0.003651397408160617,-0.000554317424230566,0.0036937151102025747,0.21311212982410602,-0.38144771133305644,-0.24190750644938452,0.0001391148085120586,-0.0031935831114378033,-0.0005701101171223244,0.003247052750611443,0.19005037743547926,-0.4086204655032054,-0.21684175959340707,0.0001417337240757488,-0.00290952812263362,-0.00027187612208728895,0.0029256382159620355,0.2103106287711241,-0.41668496749350914,-0.17184909767726123,0.00011947721522864718,-0.0030077147511281543,-0.0005761492186457384,0.0030647301269865154,0.23541492146753054,-0.4122496130813548,-0.21186144240670665,0.00011842575382320364,-0.003012381983046708,-0.0005760847920762147,0.0030692578188569472,-0.0028015010529819084,-0.0352372561604527,0.0700584087721233,0.022302791643424524,-0.030801901748298388,0.030046064042677872,-0.02306175238862676,-0.02717275417014897,0.025065746855977455,0.0983038259171832,-0.012576908555178068,0.0010270770072964563,-0.09830425789509774,0.012576970708844004,-0.0010272663478975708,46.75275365507518,-0.09015844732472307,36.83423556176187,72.50250332279562,52.00250332279562,38412.405591945295,23.786473141547866,0.04744349914684035,0.07847097087171244,0.048465839834449735,0.19822128187706517
10.29999,15.88299,False,False,False,False,False,False,False,0.3114780885849715,-0.39495064910787187,-0.24107193267862417,0.00028026462464952884,-0.0036617378331305628,-0.0007765919731996529,0.003753660521577275,0.11483006064764097,-0.3700431094800435,-0.24311795484456103,8.18584447183357e-05,-0.004823766263991669,-0.0007374994715095007,0.004880504814573247,0.21315431247760333,-0.3824969261151187,-0.24209496704372496,0.00018129746200937213,-0.004242797893500072,-0.0007575707114627628,0.004313712567810457,0.1901066486916643,-0.409527807921928,-0.21694579181542833,0.00019800498026079083,-0.00381687054135621,-0.00037590834410855534,0.003840444477511862,0.2103493281787661,-0.4176762040131676,-0.17203869796272134,0.00015817662287062606,-0.003998951270786588,-0.0007657495041058504,0.00407467832020968,0.23545274882482164,-0.41324406414921055,-0.21205085730113948,0.00015625311111430729,-0.004006833050902436,-0.0007654996865090469,0.0040822929711845125,-0.002804984298837243,-0.035179277898048866,0.07005626908100362,0.022298436347218314,-0.030747138034091848,0.03004410974258548,-0.023047663785939032,-0.027030881806809293,0.025149175228296627,0.09832377610736817,-0.012453722992753158,0.001023034365100789,-0.09832425182996236,0.012453816635075221,-0.001022987800836067,46.70558925511883,-0.1441140160936549,36.75218991826656,72.45962659556257,51.95962659556257,38008.03205213289,23.45669174881757,0.04744258094612316,0.0784431664830969,0.04842783591120879,0.19822971177060336
10.39999,15.982990000000001,False,False,False,False,False,False,False,0.3115012518845336,-0.39551447147145713,-0.2411803226050251,0.0003034279242116189,-0.004225560196715827,-0.0008849818996005676,0.004327888682011253,0.1148463170404288,-0.3706744847331518,-0.2432240025154905,9.811483750617189e-05,-0.005455141517099971,-0.0008435471424389773,0.00552084841980321,0.21317397198120558,-0.383094536595249,-0.24220223553110654,0.00020095696561162057,-0.004840408373630367,-0.000864839198844336,0.004921166910946683,0.19015064122772302,-0.409986829436417,-0.21701641854350104,0.00024199751631950872,-0.004275892055845221,-0.0004465350721812589,0.00430595044581716,0.2103707642074934,-0.41824581140414996,-0.17214729416213678,0.00017961265159793793,-0.004568558661768973,-0.0008743457035212954,0.004654940317544845,0.23547307898798978,-0.4138174365893835,-0.21215917569421455,0.00017658327428243803,-0.004580205491075406,-0.0008738180795841155,0.004666157094380952,-0.0028032077737121797,-0.035151274808900956,0.07005494136896975,0.022299107006784197,-0.030722899994134523,0.030043059836891983,-0.023023330753482563,-0.02689229284116801,0.025185816987605497,0.09832727990332801,-0.012419934876208127,0.0010219129260814475,-0.09832765494077678,0.012420051862097214,-0.0010217669843839705,46.6845532523931,-0.1993682201032552,36.681990365554086,72.44050295672099,51.94050295672099,37695.787808140725,23.148795735953165,0.047441409913452304,0.07842936251636415,0.048412108007322666,0.1982280630165031
10.49999,16.082990000000002,False,False,False,False,False,False,False,0.3114925072000708,-0.39579354278251905,-0.24122265784261657,0.0002946832397488497,-0.0045046315077777455,-0.0009273171371920463,0.004608520403077645,0.11485840110252518,-0.37087069919591054,-0.24326903165490424,0.00011019889960255103,-0.005651355979858719,-0.0008885762818527099,0.005721847255670995,0.21317553632757935,-0.3833321802594994,-0.24224591542082194,0.00020252131198539303,-0.005078052037880754,-0.0009085190885597394,0.005162657679481623,0.19018383819716006,-0.4100957238581127,-0.2170525459466241,0.0002751944857565525,-0.004384786477540925,-0.0004826624753043185,0.00441984700229357,0.21037828797186678,-0.4184817095653246,-0.17219162478452948,0.00018713641597131736,-0.004804456822943615,-0.0009186763259139974,0.004895078303102707,0.2354801688793773,-0.41405416702087916,-0.21220311115794363,0.00018367316566997305,-0.004816935922571042,-0.0009177535433131934,0.004907023444024543,-0.0027972483557125727,-0.03514952930582521,0.07005429063629245,0.02230463255179796,-0.03072198676137977,0.03004280426287831,-0.02299169813041929,-0.026763543598613326,0.02519336947419784,0.09831697087249147,-0.012461362523019659,0.0010232575782053721,-0.09831713522505417,0.012461481063588853,-0.0010231162340822997,46.6798241445298,-0.25506184961276673,36.6240816951343,72.43620376775436,51.936203767754364,37466.058511579606,22.869187121462954,0.04744076938549397,0.07842778618154879,0.048413915270454404,0.19821782830765503
10.59999,16.18299,False,False,False,False,False,False,False,0.31146536222888543,-0.39593213310980035,-0.24123091609198194,0.00026753826856346086,-0.004643221835059053,-0.000935575386557419,0.004744089695468158,0.11486950586570337,-0.37083102904533105,-0.24328318275571245,0.00012130366278073623,-0.005611685829279234,-0.0009027273826609228,0.005685125253901028,0.21316739157009193,-0.3833816240510086,-0.24225709018934918,0.00019437655449797142,-0.005127495829389983,-0.0009196938570869839,0.005212948543397844,0.19020896438456822,-0.4100380306662816,-0.2170642998096886,0.0003003206731647112,-0.004327093285709793,-0.0004944163383688305,0.004365590031783896,0.2103784209107685,-0.41854749293377225,-0.17220299495972058,0.00018726935487303753,-0.004870240191391262,-0.0009300465011050918,0.004961783532897741,0.23548189519450105,-0.414112756139758,-0.21221397212964532,0.00018539948079371316,-0.004875525041449891,-0.0009286145150148861,0.004966632895109107,-0.002788970659323431,-0.03516586888276363,0.0700540952296286,0.02231450362440912,-0.03073113208874939,0.03004311805970386,-0.02295842718552371,-0.026656406615272965,0.025192790379660573,0.0982979706587935,-0.012550509058791737,0.001026174097367244,-0.09829788570438856,0.012550595005677567,-0.001026092566363268,46.67975511094103,-0.3100413348570077,36.579222032663395,72.4361410099464,51.9361410099464,37305.96618662165,22.623083660837167,0.047441854997864956,0.07843464126302971,0.048424461733810056,0.1982024418691336
10.69999,16.282989999999998,False,False,False,False,False,False,False,0.3114354506828494,-0.39608360643788687,-0.24123980772022732,0.00023762672252741757,-0.004794695163145568,-0.0009444670148028023,0.004892605247595717,0.11488297401525029,-0.37077239760174424,-0.24329904025716614,0.00013477181232765534,-0.005553054385692424,-0.0009185848841146149,0.005630130961281434,0.21315906848593766,-0.38342801007580685,-0.2422694281558532,0.0001860534703437,-0.0051738818541882114,-0.0009320318235910008,0.005260451753900167,0.1902283161492807,-0.41001520679805326,-0.21707261787553161,0.0003196724378771998,-0.0043042694174814655,-0.0005027344042118354,0.004345304082222879,0.21037857291107553,-0.4186187432916139,-0.17221521292252556,0.00018742135518007297,-0.00494149054923293,-0.0009422644639100752,0.005034016083852299,0.23548688613173951,-0.4141644091501454,-0.2122256521352479,0.00019039041803217693,-0.004927178051837289,-0.000940294520617474,0.005019709737752653,-0.002780495574862124,-0.03519073321580707,0.07005421523332764,0.022327817645801856,-0.03073639907433856,0.03004377602060529,-0.02293075233665695,-0.02658719672224641,0.025196810280321585,0.09827638219691173,-0.012655596362080024,0.0010296204356258776,-0.09827609447068737,0.012655612474062605,-0.0010296121013129433,46.67731429115062,-0.3628489197685214,36.5500182937885,72.4339220828642,51.9339220828642,37212.19958618093,22.41432147008523,0.04744579782684418,0.0784455985499845,0.04843434882867198,0.19818620995305175
10.79999,16.38299,False,False,False,False,False,False,False,0.31141669783508735,-0.3963538780290416,-0.24127505752763423,0.00021887387476537956,-0.005064966754300293,-0.0009797168222097086,0.005163490974809847,0.11490064475052553,-0.37086087854647387,-0.24334031843071358,0.00015244254760289622,-0.005641535330422054,-0.000959863057662047,0.005724639438793003,0.21315848533409934,-0.38360733832986743,-0.24230766017710234,0.00018547031850538187,-0.005353210108248796,-0.0009702638448401413,0.005443589774285673,0.19024275410820846,-0.4101789028091861,-0.21710319292531097,0.0003341103968049486,-0.004467965428614329,-0.0005333094539911876,0.004512068683238583,0.21038475120183675,-0.4188220418472429,-0.1722529942634308,0.0001935996459412892,-0.005144789104861935,-0.0009800458048153105,0.00524088022530097,0.23550153780034674,-0.41433472367324164,-0.21226305856449423,0.00020504208663940648,-0.0050974925749335265,-0.0009777009498637967,0.005194455886438968,-0.0027737341322625897,-0.03521470351737549,0.07005466591367154,0.022343052466247404,-0.030727385343374214,0.030044601612608107,-0.022915731225890884,-0.026571564479318688,0.025204467251791374,0.09825821250098801,-0.012746539699174164,0.0010326026494681118,-0.09825784058357381,0.01274645978339356,-0.001032658253611235,46.673144629619,-0.41174050606563795,36.54002688127944,72.43013148147182,51.93013148147182,37190.7222459603,22.24523340622762,0.047453074071181565,0.07845651764595005,0.048436167164733694,0.1981734529273543
10.89999,16.48299,False,False,False,False,False,False,False,0.31141809924144476,-0.39676720098827456,-0.24134580781153023,0.00022027528112278372,-0.0054782897135332576,-0.001050467106105707,0.005582442165028503,0.11492162372525752,-0.3711695519537697,-0.24341453156573462,0.0001734215223348906,-0.005950208737717899,-0.0010340761926830866,0.0060418848564911705,0.21316971148228034,-0.38396828679434636,-0.24238011736706014,0.0001966964666863802,-0.005714158572727723,-0.0010427210347979388,0.00581184693971673,0.19025171511864222,-0.4105844571086477,-0.21717652111287294,0.0003430714072387153,-0.004873519728075926,-0.0006066376415531649,0.004923098796343537,0.21039992233222715,-0.41919650784406587,-0.17232456209766703,0.0002087707763316904,-0.005519255101684883,-0.0010516136390515407,0.0056224241533669415,0.23552786699755857,-0.41466709968167564,-0.2123346836018149,0.0002313712838512283,-0.005429868583367525,-0.001049325987184463,0.005535168518754715,-0.002769789150053187,-0.03522822104971951,0.07005555526939311,0.022358155515278227,-0.030698812887329285,0.03004543376524524,-0.022917996363638116,-0.026616170314301357,0.025203596254187194,0.09824838775916442,-0.012798914193928201,0.0010343095555299109,-0.09824808775702282,0.012798734840576642,-0.001034414198674477,46.67414428564459,-0.45474769782799157,36.55055352778594,72.43104025967689,51.93104025967689,37243.192732516276,22.11660481127602,0.047463027338994726,0.07846324052935008,0.048425533769679396,0.19816756582334172
