time,twist,height,volume,pressure,epi_mm,trans_mm,endo_mm
0.0,-1.378320646105621,76.14098356012407,119.02073992502237,7.980757271844452,240.543359375,241.09140625,236.40234375
0.1,-1.380774440948563,76.06455422596385,118.96227277859678,8.017360013578427,240.8872682291666,240.73030208333338,236.51409375000003
0.2,-1.403853925776045,75.10542027637062,118.24064405604032,8.451124090056657,241.11412499999994,240.48508593750003,236.47656249999997
0.30000000000000004,-1.3462332031130346,73.7672185483973,117.37146016392694,8.797454599903146,241.174408209571,240.42983812912541,236.01646813118805
0.4,-1.2065677710334703,72.10345866005885,116.37529875025321,9.517712295647383,241.0409375,240.52275390624996,235.08926692708346
0.5,-0.9875834634420767,70.20952460928895,115.27460203753823,11.014719705258772,240.7177558210785,240.82937806372544,234.48714453125012
0.6000000000000001,-0.6960142922306014,68.20936093524126,114.09272202461376,13.385567960024366,240.22387609581276,241.31301681105606,233.46788937448443
0.7000000000000001,-0.3421526046825549,66.2360528681114,112.85307224398393,16.591006307673755,239.56817759900983,242.21163882013207,231.4957521142738
0.8,0.060965110843403836,64.41077440122896,111.57841210545483,20.575212654719703,238.75685584099793,242.78273113638295,230.26567676478086
0.9,0.49866221713085923,62.82515531225244,110.29026880493778,25.10248252165651,237.87369485501142,243.55567398648634,228.629045572917
1.0,0.9558988966199493,61.531444004791354,109.00848247941036,29.75307764593883,236.94252784653486,244.3569564768975,226.89338000206317
1.1,1.4185719977859612,60.54273306765442,107.75086791155445,34.17333680548716,235.99669833754206,245.30199726430976,224.52517117792505
1.2000000000000002,1.8746968001873092,59.84217650083978,106.53291671368622,38.27178193222907,235.062355654762,245.70244940476178,223.42521242559545
1.3,2.3153256796216524,59.39689241660842,105.36757531223743,42.14078680545064,234.18421287128714,246.00275268151813,222.2360574463696
1.4000000000000001,2.7351048134120544,59.17065833446128,104.26501420745949,45.94285196522518,233.37099154290445,246.12345936468645,221.06475835396066
1.5,3.1324050567006405,59.131013915623534,103.23244537793805,49.87591014270898,232.63898597359753,245.69721379950502,219.69472706528495
1.6,3.5090328278545635,59.249946803604836,102.27394998166238,54.08308657112241,231.995715256541,245.51609248286897,219.4409362204808
1.7000000000000002,3.8695636550170307,59.500483128676116,101.3903631778636,58.447089272141305,231.41291888834738,244.85142667592268,218.9381963061021
1.8,4.2203940179027475,59.852438885748846,100.57924705710109,62.66237086945329,230.92018366228072,243.9338739035088,218.78881167763157
1.9000000000000001,4.568639842437494,60.269772166579706,99.83499043248207,66.53449737692563,230.46997916666677,242.33850781250032,218.8119322916667
2.0,4.921028218738674,60.71065747434236,99.14906900899366,70.06173548719752,230.0717221400288,241.478036935516,218.89511002431666
