phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,240.0184,247.8740,234.9548,9.9389,9.9389,3.0000
0.0101,240.0275,247.9147,234.9501,9.8159,9.8159,0.7267
0.0202,240.0261,247.9649,234.9351,9.6930,9.6930,3.4437
0.0303,240.0071,248.0000,234.9009,9.6661,9.6661,9.0941
0.0404,239.9664,248.0000,234.8389,9.6411,9.6411,15.6210
0.0505,239.9004,248.0000,234.7413,9.8569,9.8569,21.5149
0.0606,239.8029,248.0000,234.6016,10.0830,10.0830,27.7421
0.0707,239.6645,248.0000,234.4149,10.1773,10.1773,35.5313
0.0808,239.4735,248.0000,234.1746,10.2630,10.2630,44.0129
0.0909,239.2192,248.0000,233.8662,10.3128,10.3128,51.9082
0.1010,238.8951,248.0000,233.4666,10.3595,10.3595,59.0701
0.1111,238.5015,247.8108,232.9561,10.2945,10.2945,65.6622
0.1212,238.0461,247.4085,232.3363,10.2167,10.2167,71.5767
0.1313,237.5405,246.9121,231.6416,10.1486,10.1486,76.6529
0.1414,236.9978,246.3583,230.9270,10.0818,10.0818,80.9571
0.1515,236.4282,245.7670,230.2392,10.3988,10.3988,84.6174
0.1616,235.8388,245.1272,229.5913,10.7799,10.7799,87.6401
0.1717,235.2334,244.4115,228.9659,10.6218,10.6218,90.0058
0.1818,234.6154,243.6070,228.3428,10.3585,10.3585,91.8315
0.1919,233.9903,242.7377,227.7233,10.3923,10.3923,93.2696
0.2020,233.3675,241.8593,227.1336,10.4930,10.4930,94.3339
0.2121,232.7589,241.0292,226.6023,10.5574,10.5574,94.9995
0.2222,232.1763,240.2785,226.1365,10.6126,10.6126,95.3925
0.2323,231.6291,239.6074,225.7186,10.5939,10.5939,95.6913
0.2424,231.1224,239.0012,225.3250,10.5539,10.5539,95.9446
0.2525,230.6572,238.4476,224.9471,10.6582,10.6582,96.1420
0.2626,230.2305,237.9400,224.5956,10.8094,10.8094,96.3022
0.2727,229.8365,237.4704,224.2860,10.9012,10.9012,96.4487
0.2828,229.4674,237.0238,224.0209,10.9715,10.9715,96.5131
0.2929,229.1158,236.5814,223.7882,11.0513,11.0513,96.3906
0.3030,228.7760,236.1302,223.5732,11.1347,11.1347,96.1033
0.3131,228.4450,235.6673,223.3700,11.1705,11.1705,95.7340
0.3232,228.1223,235.1966,223.1832,11.1852,11.1852,95.2394
0.3333,227.8100,234.7220,223.0223,11.1606,11.1606,94.5038
0.3434,227.5120,234.2460,222.8949,11.1169,11.1169,93.4539
0.3535,227.2343,233.7759,222.8045,11.1772,11.1772,92.0254
0.3636,226.9834,233.3310,222.7509,11.2928,11.2928,89.9307
0.3737,226.7656,232.9405,222.7318,11.5763,11.5763,86.8080
0.3838,226.5870,232.6367,222.7461,11.9573,11.9573,83.2974
0.3939,226.4549,232.4505,222.7975,12.7862,12.7862,80.3678
0.4040,226.3804,232.4179,222.9001,13.8989,13.8989,73.5782
0.4141,226.3806,232.5851,223.0784,15.8484,15.8484,55.2495
0.4242,226.4776,233.0005,223.3579,18.3753,18.3753,30.0558
0.4343,226.6925,233.6877,223.7456,22.0589,22.0589,11.8402
0.4444,227.0382,234.6222,224.2182,26.6102,26.6102,4.2596
0.4545,227.5137,235.7402,224.7305,31.6562,31.6562,2.3914
0.4646,228.1032,236.9813,225.2419,37.1052,37.1052,2.7005
0.4747,228.7806,238.3283,225.7395,42.8663,42.8663,3.1607
0.4848,229.5154,239.8050,226.2381,48.9036,48.9036,3.0840
0.4949,230.2787,241.4231,226.7581,54.7654,54.7654,2.9576
0.5051,231.0473,243.1248,227.3015,60.4593,60.4593,2.9765
0.5152,231.8039,244.7764,227.8476,65.4528,65.4528,3.0111
0.5253,232.5359,246.2196,228.3711,69.7174,69.7174,3.0066
0.5354,233.2323,247.3332,228.8615,73.0154,73.0154,2.9971
0.5455,233.8809,248.0000,229.3260,75.2209,75.2209,2.9982
0.5556,234.4675,248.0000,229.7755,77.2360,77.2360,3.0008
0.5657,234.9782,248.0000,230.2083,79.0178,79.0178,3.0005
0.5758,235.4040,248.0000,230.6073,80.7958,80.7958,2.9998
0.5859,235.7445,248.0000,230.9521,82.5690,82.5690,2.9999
0.5960,236.0088,248.0000,231.2340,84.4518,84.4518,3.0001
0.6061,236.2132,248.0000,231.4597,86.4935,86.4935,3.0000
0.6162,236.3762,248.0000,231.6448,88.3795,88.3795,3.0000
0.6263,236.5141,248.0000,231.8044,90.0196,90.0196,3.0000
0.6364,236.6385,248.0000,231.9482,91.6435,91.6435,3.0000
0.6465,236.7560,248.0000,232.0831,93.2395,93.2395,3.0000
0.6566,236.8691,248.0000,232.2141,94.6832,94.6832,3.0000
0.6667,236.9787,248.0000,232.3429,95.8403,95.8403,3.0000
0.6768,237.0855,248.0000,232.4677,96.8767,96.8767,3.0000
0.6869,237.1905,248.0000,232.5863,97.6644,97.6644,3.0000
0.6970,237.2957,248.0000,232.6988,98.0276,98.0276,3.0000
0.7071,237.4035,248.0000,232.8081,97.4284,97.4284,3.0000
0.7172,237.5159,247.9988,232.9177,96.2935,96.2935,3.0000
0.7273,237.6339,247.9976,233.0302,93.8191,93.8191,3.0000
0.7374,237.7561,247.9970,233.1462,90.1614,90.1614,3.0000
0.7475,237.8791,247.9973,233.2636,83.2270,83.2270,3.0000
0.7576,237.9982,247.9982,233.3789,75.6064,75.6064,3.0000
0.7677,238.1091,247.9996,233.4892,65.8704,65.8704,3.0000
0.7778,238.2094,248.0000,233.5944,56.1492,56.1492,3.0000
0.7879,238.3000,248.0000,233.6968,46.4791,46.4791,3.0000
0.7980,238.3843,248.0000,233.7990,37.1934,37.1934,3.0000
0.8081,238.4663,248.0000,233.9017,29.4066,29.4066,3.0000
0.8182,238.5493,248.0000,234.0033,22.2626,22.2626,3.0000
0.8283,238.6345,248.0000,234.1016,17.9750,17.9750,3.0000
0.8384,238.7220,248.0000,234.1954,14.0831,14.0831,3.0000
0.8485,238.8112,248.0000,234.2847,12.2194,12.2194,3.0000
0.8586,238.9013,248.0000,234.3694,10.5092,10.5092,3.0000
0.8687,238.9915,248.0000,234.4481,9.7198,9.7198,3.0000
0.8788,239.0807,247.9941,234.5191,8.9985,8.9985,3.0000
0.8889,239.1680,247.9803,234.5803,8.7645,8.7645,3.0000
0.8990,239.2538,247.9775,234.6313,8.5490,8.5490,3.0000
0.9091,239.3395,247.9885,234.6733,8.4971,8.4971,3.0000
0.9192,239.4268,248.0000,234.7090,8.4759,8.4759,3.0000
0.9293,239.5154,248.0000,234.7410,8.8002,8.8002,3.0000
0.9394,239.6030,248.0000,234.7713,9.1147,9.1147,3.0000
0.9495,239.6868,248.0000,234.8013,9.2809,9.2809,3.0000
0.9596,239.7644,248.0000,234.8316,9.4444,9.4444,3.0000
0.9697,239.8322,247.9823,234.8604,9.5466,9.5466,3.0000
0.9798,239.8850,247.9495,234.8838,9.6472,9.6472,3.0000
0.9899,239.9206,247.9258,234.8993,9.6751,9.6751,3.0000
1.0000,239.9444,247.9100,234.9089,9.7030,9.7030,3.0000
